gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CACHE COMPUTER CONSULTING,2010,1,1,0
CACHE COMPUTER CONSULTING,2011,12,12,0
CACHE COMPUTER CONSULTING,2012,15,15,0
CACHE COMPUTER CONSULTING,2013,8,8,0
CACHE COMPUTER CONSULTING,2014,12,12,0
CACHE COMPUTER CONSULTING,2015,7,7,0
CACHE COMPUTER CONSULTING,2016,22,19,3
CACHE COMPUTER CONSULTING,2017,30,15,15
CACHE COMPUTER CONSULTING,2018,29,4,25
CACHE COMPUTER CONSULTING,2019,49,7,42
CANADIAN CORPS OF COMMISSIONAIRES,2010,27,27,0
CANADIAN CORPS OF COMMISSIONAIRES,2011,30,30,0
CANADIAN CORPS OF COMMISSIONAIRES,2012,9,9,0
CANADIAN CORPS OF COMMISSIONAIRES,2013,13,13,0
CANADIAN CORPS OF COMMISSIONAIRES,2014,40,40,0
CANADIAN CORPS OF COMMISSIONAIRES,2015,49,49,0
CANADIAN CORPS OF COMMISSIONAIRES,2016,63,57,6
CANADIAN CORPS OF COMMISSIONAIRES,2017,57,51,6
CANADIAN CORPS OF COMMISSIONAIRES,2018,94,78,16
CANADIAN CORPS OF COMMISSIONAIRES,2019,24,15,9
DELOITTE AND TOUCHE,2010,5,5,0
DELOITTE AND TOUCHE,2012,2,2,0
DELOITTE AND TOUCHE,2013,5,5,0
DELOITTE AND TOUCHE,2014,4,4,0
DELOITTE AND TOUCHE,2015,8,8,0
DELOITTE AND TOUCHE,2016,22,21,1
DELOITTE AND TOUCHE,2017,5,4,1
DELOITTE AND TOUCHE,2018,23,20,3
DELOITTE AND TOUCHE,2019,82,49,33
ERNST YOUNG,2010,4,4,0
ERNST YOUNG,2011,11,11,0
ERNST YOUNG,2012,5,5,0
ERNST YOUNG,2013,2,2,0
ERNST YOUNG,2014,9,9,0
ERNST YOUNG,2015,18,18,0
ERNST YOUNG,2016,23,17,6
ERNST YOUNG,2017,62,25,37
ERNST YOUNG,2018,57,8,49
ERNST YOUNG,2019,37,5,32
GRAYBRIDGE INTERNATIONAL CONSULTING,2011,1,1,0
GRAYBRIDGE INTERNATIONAL CONSULTING,2012,3,3,0
GRAYBRIDGE INTERNATIONAL CONSULTING,2013,9,9,0
GRAYBRIDGE INTERNATIONAL CONSULTING,2014,6,6,0
GRAYBRIDGE INTERNATIONAL CONSULTING,2015,3,3,0
GRAYBRIDGE INTERNATIONAL CONSULTING,2016,17,11,6
GRAYBRIDGE INTERNATIONAL CONSULTING,2017,42,24,18
GRAYBRIDGE INTERNATIONAL CONSULTING,2018,59,36,23
GRAYBRIDGE INTERNATIONAL CONSULTING,2019,47,24,23
IBM CANADA,2010,18,18,0
IBM CANADA,2011,25,25,0
IBM CANADA,2012,25,25,0
IBM CANADA,2013,21,21,0
IBM CANADA,2014,32,32,0
IBM CANADA,2015,16,16,0
IBM CANADA,2016,7,7,0
IBM CANADA,2017,5,4,1
IBM CANADA,2018,7,7,0
IBM CANADA,2019,10,10,0
PRICEWATERHOUSE COOPERS,2010,5,5,0
PRICEWATERHOUSE COOPERS,2011,6,6,0
PRICEWATERHOUSE COOPERS,2012,24,24,0
PRICEWATERHOUSE COOPERS,2013,56,56,0
PRICEWATERHOUSE COOPERS,2014,47,47,0
PRICEWATERHOUSE COOPERS,2015,81,81,0
PRICEWATERHOUSE COOPERS,2016,119,84,35
PRICEWATERHOUSE COOPERS,2017,147,47,100
PRICEWATERHOUSE COOPERS,2018,138,49,89
PRICEWATERHOUSE COOPERS,2019,140,72,68
PROCOM CONSULTANTS,2011,1,1,0
PROCOM CONSULTANTS,2012,4,4,0
PROCOM CONSULTANTS,2013,8,8,0
PROCOM CONSULTANTS,2014,13,13,0
PROCOM CONSULTANTS,2015,37,37,0
PROCOM CONSULTANTS,2016,47,34,13
PROCOM CONSULTANTS,2017,54,17,37
PROCOM CONSULTANTS,2018,62,20,42
PROCOM CONSULTANTS,2019,63,9,54
SI SYSTEMS,2010,18,18,0
SI SYSTEMS,2011,15,15,0
SI SYSTEMS,2012,17,17,0
SI SYSTEMS,2013,3,3,0
SI SYSTEMS,2014,2,2,0
SI SYSTEMS,2015,49,49,0
SI SYSTEMS,2016,78,60,18
SI SYSTEMS,2017,169,70,99
SI SYSTEMS,2018,181,21,160
SI SYSTEMS,2019,194,57,137
VERITAAQ TECHNOLOGY HOUSE,2010,3,3,0
VERITAAQ TECHNOLOGY HOUSE,2011,8,8,0
VERITAAQ TECHNOLOGY HOUSE,2012,8,8,0
VERITAAQ TECHNOLOGY HOUSE,2013,38,38,0
VERITAAQ TECHNOLOGY HOUSE,2014,40,40,0
VERITAAQ TECHNOLOGY HOUSE,2015,22,22,0
VERITAAQ TECHNOLOGY HOUSE,2016,14,8,6
VERITAAQ TECHNOLOGY HOUSE,2017,6,1,5
VERITAAQ TECHNOLOGY HOUSE,2018,10,5,5
VERITAAQ TECHNOLOGY HOUSE,2019,23,3,20
