source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,1894,924,970,16181130.90,894280627.75
2011,1752,877,875,15699642.48,849271285.52
2012,1244,634,610,11379330.74,354649378.49
2013,1136,509,627,9437606.25,322676293.23
2014,1131,446,685,8118035.74,745836347.04
2015,1120,387,733,7175444.16,229783831.10
2016,1169,427,742,7632550.44,2394703278.56
2017,927,371,556,6715602.00,117593729.85
2018,889,358,531,6674675.16,110346954.44
2019,1235,436,799,7597242.52,166469152.74
