source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,1843,971,872,15481787.77,325134613.13
2011,1801,1012,789,15935762.18,354522087.49
2012,1125,578,547,9322537.10,135546081.69
2013,923,486,437,7821703.02,91762456.26
2014,855,446,409,7504036.61,72742458.15
2015,501,226,275,3699022.76,51090559.89
2016,936,465,471,7210528.51,123775833.27
2017,684,340,344,5262335.60,91089799.94
2018,590,238,352,3988258.38,93842670.06
2019,609,251,358,4159474.64,84933052.49
