vendor_normalized,sum_effective_value
SUMTOTAL SYSTEMS CANADA,806258.25
IT SERVICES CANADA,799362.00
CISION CANADA,799097.68
CANADIAN TAX FOUNDATION,797470.00
NEXT WOOD,792858.94
SASKTEL,784445.56
FLEXERA SOFTWARE,782921.65
HORIZANT,775547.25
TOSHIBA OF CANADA,770722.92
ALTIS HUMAN RESOURCES,765586.89
BUREAU VAN DIJK,761500.46
5751846 MANITOBA,758218.05
SYSTEMSCOPE,754892.73
ENVIRONICS RESEARCH GROUP,745661.85
SHEPELLFGI A DIVISION OF HRCO,721282.42
L 1 IDENTITY SOLUTIONS,707285.80
ALITHYA CANADA,705195.33
BLOOMBERG FINANCE,703044.18
UNILYTICS,700199.09
THE FAMILY CENTRE,683778.19
ALLARD JOHNSON COMMUNICATIONS,664552.13
SEA SOFTWARE ENGINEERING OF AMERICA,657941.55
ENTRUST,649012.08
GALBRAITH COMMUNICATIONS,646252.74
HYPERACTIVE PRODUCTIONS,645998.11
FAMILY SERVICES THAMES VALLEY,642583.63
ACART COMMUNICATIONS,640575.28
