vendor_normalized,effective_year,sum_yearly_value
BELL CANADA,2010,39546902.01
BELL CANADA,2011,36965560.84
BELL CANADA,2012,16490115.54
BELL CANADA,2013,9165330.28
BELL CANADA,2014,5697111.51
BELL CANADA,2015,5205911.47
BELL CANADA,2016,5203255.65
BELL CANADA,2017,5203255.65
BELL CANADA,2018,5203255.65
BELL CANADA,2019,6741001.13
CA CANADA COMPANY,2010,25280658.71
CA CANADA COMPANY,2011,13939001.03
CA CANADA COMPANY,2012,13629456.16
CA CANADA COMPANY,2013,11820591.67
CA CANADA COMPANY,2014,11411074.19
CA CANADA COMPANY,2015,11411074.19
CA CANADA COMPANY,2019,142250.05
CGI,2010,68253963.00
CGI,2011,26355376.75
CGI,2012,1101408.56
CGI,2013,356247.20
CGI,2018,26130.55
CGI,2019,26130.55
COMPUGEN,2010,10143342.32
COMPUGEN,2011,27238023.25
COMPUGEN,2012,4935751.71
COMPUGEN,2013,7549617.22
COMPUGEN,2014,3714217.90
COMPUGEN,2015,3905510.37
COMPUGEN,2016,252401.45
COMPUGEN,2017,287157.01
COMPUGEN,2018,179186.36
COMPUGEN,2019,118233.88
IBM CANADA,2010,-11067655.53
IBM CANADA,2011,68840939.52
IBM CANADA,2012,30632196.48
IBM CANADA,2013,17980946.32
IBM CANADA,2014,16038505.86
IBM CANADA,2015,16221306.34
IBM CANADA,2016,26657020.79
IBM CANADA,2017,10220981.75
IBM CANADA,2018,3212414.68
IBM CANADA,2019,4286781.59
IRON MOUNTAIN CANADA OPS,2013,3069.07
IRON MOUNTAIN CANADA OPS,2014,3069.07
IRON MOUNTAIN CANADA OPS,2015,3069.07
IRON MOUNTAIN CANADA OPS,2016,7082219.32
IRON MOUNTAIN CANADA OPS,2017,13997478.34
IRON MOUNTAIN CANADA OPS,2018,12133382.51
IRON MOUNTAIN CANADA OPS,2019,12499635.00
MODIS CANADA,2011,1601403.59
MODIS CANADA,2012,4685879.36
MODIS CANADA,2013,6341966.35
MODIS CANADA,2014,6293655.18
MODIS CANADA,2015,6582675.01
MODIS CANADA,2016,8385928.83
MODIS CANADA,2017,9778335.80
MODIS CANADA,2018,3324369.61
ORACLE CANADA,2010,7628187.22
ORACLE CANADA,2011,13143833.26
ORACLE CANADA,2012,12733730.31
ORACLE CANADA,2013,12673689.97
ORACLE CANADA,2014,889592.05
ORACLE CANADA,2015,1667352.62
ORACLE CANADA,2016,1235327.44
ORACLE CANADA,2018,3403155.22
RANDSTAD,2011,3687038.56
RANDSTAD,2012,6480708.70
RANDSTAD,2013,10181275.47
RANDSTAD,2014,9346931.85
RANDSTAD,2015,9532879.13
RANDSTAD,2016,10315553.36
RANDSTAD,2017,13741422.51
RANDSTAD,2018,7797470.46
RANDSTAD,2019,875434.47
VERITAAQ TECHNOLOGY HOUSE,2010,46991.08
VERITAAQ TECHNOLOGY HOUSE,2011,10737416.66
VERITAAQ TECHNOLOGY HOUSE,2012,18090178.37
VERITAAQ TECHNOLOGY HOUSE,2013,22675363.20
VERITAAQ TECHNOLOGY HOUSE,2014,14930156.10
VERITAAQ TECHNOLOGY HOUSE,2015,16619997.49
VERITAAQ TECHNOLOGY HOUSE,2016,22785464.76
VERITAAQ TECHNOLOGY HOUSE,2017,18508592.17
VERITAAQ TECHNOLOGY HOUSE,2018,18797739.48
VERITAAQ TECHNOLOGY HOUSE,2019,7579603.72
