source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,1843,910,84,849,13977865.33,2086309.70,324552225.87
2011,1801,953,69,779,14485690.41,1704358.09,354267801.17
2012,1125,522,63,540,7940664.57,1559896.18,135368058.04
2013,923,439,57,427,6662333.02,1412852.58,91508973.68
2014,855,399,53,403,6341601.59,1314091.27,72590801.90
2015,501,204,31,266,3156846.56,769923.51,50862812.58
2016,936,435,37,464,6469129.01,921210.13,123596022.64
2017,684,321,21,342,4793032.73,520367.16,91038735.65
2018,590,209,39,342,3269461.98,974492.34,93586974.12
2019,609,229,27,353,3619612.98,667875.14,84805039.01
