owner_acronym,sum_effective_value
pspc,399980718.00
esdc,76764935.18
cfia,8648625.14
osfi,5005468.48
ircc,4400938.98
ic,3421655.24
dnd,492661.92
rcmp,487832.30
cbsa,79100.00
phac,59302.40
tbs,56500.00
tc,49997.98
ssc,24634.00
