vendor_normalized,effective_year,sum_yearly_value
CANADIAN CORPS OF COMMISSIONAIRES,2017,277885.00
CANADIAN CORPS OF COMMISSIONAIRES,2018,561427.00
CANADIAN CORPS OF COMMISSIONAIRES,2019,566380.50
CONSTRUCTION PAVAGE PORTNEUF,2018,155997.00
ECO VERDURE,2018,57525.00
ECO VERDURE,2019,160925.00
EMS INGENIERIE,2018,117348.00
GESTION ARBEAU FLEURI,2017,27862.00
GESTION ARBEAU FLEURI,2018,65908.00
GESTION ARBEAU FLEURI,2019,73077.00
MBH MOBILIER DE BUREAU,2018,115974.00
MUSEE NATIONAL DES BEAUX ARTS DU QUEBEC,2018,114250.00
PAUL H LAFOND ET FILS,2018,422796.00
TOITURES QUATRE SAISONS,2018,149524.00
TPSGC,2018,163542.00
TPSGC,2019,87728.00
