source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,252,119,133,1971590.57,84441785.68
2011,304,113,191,2021787.12,172150683.30
2012,172,75,97,1343400.45,13713671.35
2013,219,79,140,1253601.57,48620949.54
2014,64,15,49,265717.56,10734057.25
