owner_acronym,sum_effective_value
ssc,106854217.38
dnd,80556136.65
csc,28602147.13
pspc,27719121.68
esdc,24001190.96
rcmp,20948220.80
ic,19851509.88
tbs,10700167.15
dfo,10540300.60
stats,9198155.90
just,8523331.83
agr,7695880.11
inac,7629924.59
cbsa,7585451.12
cra,7384553.79
phac,7308314.92
hc,6802739.91
pch,6070692.87
ircc,5662541.26
pco,4843996.53
nrc,4313662.25
tc,4159497.04
nrcan,4020429.85
gac,3934560.52
vac,2364634.99
cfia,2117411.66
fin,2113402.79
ec,1689812.88
isc,1543078.93
infra,1445856.68
elections,1237885.03
pc,1214103.02
csps,934519.29
cnsc,922451.22
cas,504574.55
acoa,496065.03
crtc,479782.10
atssc,446852.21
ced,440595.33
csa,424446.13
lac,387794.82
feddev,329526.04
fintrac,325372.78
ppsc,290423.49
cihr,257268.99
cannor,240954.39
ps,239476.47
tsb,237664.20
pptc,193333.17
vrab,150749.43
fcac,149816.65
nfb,114147.16
cta,111943.20
psc,107282.00
psic,84762.67
ocl,76508.11
pmprb,72395.93
osfi,48429.47
iaac,45642.06
cer,45054.84
oic,44280.16
cgc,40397.67
nserc,26046.50
mgerc,24754.82
oag,23135.62
cics,23061.97
chrc,22543.50
osgg,15066.52
ccohs,12470.09
