owner_acronym,total_entries,total_contracts,total_amendments
dnd,462,334,128
pspc,366,258,108
dfo,343,206,137
gac,299,212,87
ec,281,211,70
hc,253,199,54
phac,219,183,36
nrcan,131,98,33
tc,130,107,23
ic,125,87,38
esdc,111,76,35
cfia,101,69,32
feddev,101,42,59
nrc,85,51,34
ircc,73,54,19
just,70,45,25
cer,68,43,25
ssc,67,41,26
inac,50,40,10
cbsa,44,27,17
tbs,39,30,9
pch,34,26,8
elections,33,24,9
osfi,32,12,20
agr,31,18,13
infra,28,16,12
ps,27,22,5
pc,22,16,6
ppsc,21,15,6
cnsc,19,14,5
pco,19,13,6
cra,18,13,5
rcmp,17,9,8
chrc,15,13,2
wage,14,14,0
oic,13,9,4
csc,11,10,1
cas,10,4,6
iaac,10,9,1
nserc,10,7,3
fin,9,3,6
isc,9,9,0
lac,9,6,3
pptc,8,6,2
opc,8,7,1
tsb,8,8,0
csps,7,7,0
vac,5,3,2
cta,5,3,2
fcac,4,3,1
atssc,4,3,1
ocol,3,2,1
psc,3,3,0
sshrc,3,3,0
stats,3,3,0
swc,3,3,0
cihr,2,2,0
mpcc,2,1,1
ced,2,2,0
ocl,1,1,0
pmprb,1,1,0
cpc,1,1,0
crtc,1,1,0
osgg,1,1,0
oag,1,1,0
