owner_acronym,sum_effective_value
dnd,88789461.15
gac,20513310.97
pspc,19959042.41
hc,14520954.00
dfo,13888375.44
cbsa,10001014.70
phac,9358883.97
tbs,7557895.66
tc,7274611.82
nrcan,7113347.79
ec,6641402.18
just,6306176.59
ic,5913264.10
cra,4497110.87
elections,3798130.19
nrc,3504105.98
ircc,3412827.54
agr,3393368.17
inac,3145806.34
cfia,3066057.07
ssc,3031979.88
esdc,2522181.88
rcmp,2221007.57
ppsc,1988801.91
oic,1975138.58
osfi,1908051.36
infra,1823128.23
feddev,1511200.70
pc,1504509.66
ps,1411336.97
pco,1309280.62
pch,1210815.26
cer,1129099.00
cnsc,975200.53
isc,850374.78
nserc,616319.15
opc,480473.22
csps,322311.99
csc,303085.90
iaac,294850.90
chrc,280544.43
cas,273476.76
cta,220297.40
pptc,208811.80
lac,207098.91
wage,204661.24
fin,198554.70
atssc,176360.97
tsb,171721.63
swc,121580.31
stats,107624.03
ocol,104597.26
sshrc,95013.41
ocl,91140.15
fcac,84040.00
vac,66924.47
cihr,61990.39
psc,54498.00
oag,54226.44
ced,38813.89
mpcc,35096.67
pmprb,24164.59
crtc,18625.95
