owner_acronym,sum_effective_value
dnd,42369022.05
ssc,13887069.96
pspc,7518719.94
ircc,5031068.32
cbsa,4461904.27
ec,4063406.80
tc,3591271.49
esdc,3054158.99
tbs,1811753.03
osfi,1340354.45
just,890955.68
pptc,803523.01
ic,792994.74
rcmp,637173.60
psc,522300.68
elections,521035.90
stats,501577.81
phac,441559.95
dfo,345054.82
hc,340288.20
csps,329071.89
fcac,306210.67
agr,276330.97
gac,266573.86
vac,242850.24
infra,226001.13
fin,216282.00
ps,204750.00
pco,181046.62
ppsc,138866.00
lac,133080.15
csa,124635.00
fintrac,86666.00
cfia,86547.24
chrc,60384.38
cnsc,57577.67
atssc,54002.70
pmprb,19323.00
opc,17673.20
