gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADVANCED BUSINESS INTERIORS,2017,1,1,0
ADVANCED BUSINESS INTERIORS,2018,1,1,0
ADVANCED BUSINESS INTERIORS,2019,1,1,0
APPLIED ELECTONICS,2019,2,2,0
CANON,2017,1,1,0
CANON,2018,1,1,0
CONTRACT COMMUNITY,2017,1,1,0
CONTRACT COMMUNITY,2018,1,1,0
EXCEL HUMAN RESOURCES,2017,1,1,0
EXCEL HUMAN RESOURCES,2018,1,0,1
GARTNER,2016,2,2,0
ITEX,2017,2,2,0
ITEX,2019,2,2,0
MICROSOFT CANADA,2016,1,1,0
MICROSOFT CANADA,2017,2,2,0
MICROSOFT CANADA,2019,2,2,0
QMR,2016,4,3,1
QMR,2017,2,1,1
ZYCOM,2017,1,1,0
ZYCOM,2018,2,2,0
