owner_acronym,total_entries,total_contracts,total_amendments
dfo,57,36,21
dnd,51,48,3
pc,18,15,3
rcmp,14,14,0
nrc,5,5,0
pspc,2,2,0
nrcan,1,1,0
inac,1,1,0
gac,1,1,0
