owner_acronym,source_year,total_entries,total_contracts,total_amendments
dfo,2010,4,4,0
dfo,2011,6,5,1
dfo,2012,8,8,0
dfo,2014,1,1,0
dfo,2015,1,1,0
dfo,2017,14,7,7
dfo,2018,12,6,6
dfo,2019,11,4,7
dnd,2010,1,0,1
dnd,2011,2,1,1
dnd,2012,1,1,0
dnd,2013,3,3,0
dnd,2014,4,4,0
dnd,2015,6,6,0
dnd,2016,9,9,0
dnd,2017,8,8,0
dnd,2018,9,8,1
dnd,2019,8,8,0
gac,2019,1,1,0
inac,2017,1,1,0
nrc,2012,1,1,0
nrc,2014,1,1,0
nrc,2015,1,1,0
nrc,2016,1,1,0
nrc,2019,1,1,0
nrcan,2018,1,1,0
pc,2017,7,6,1
pc,2018,4,4,0
pc,2019,7,5,2
pspc,2017,2,2,0
rcmp,2010,1,1,0
rcmp,2011,1,1,0
rcmp,2016,9,9,0
rcmp,2017,1,1,0
rcmp,2018,2,2,0
