owner_acronym,sum_effective_value
dnd,81763980.71
pspc,57887579.95
cra,46994213.73
ic,21621503.56
ircc,14490180.58
hc,9533145.74
csc,9310588.67
esdc,8717359.37
rcmp,8188602.71
phac,5205028.60
ssc,4503140.29
just,4440759.05
cbsa,4128881.20
cer,3803615.02
lac,3408299.24
gac,3318821.30
elections,3289543.99
psc,2509492.00
tbs,1383259.92
cnsc,1056196.17
agr,1015242.22
ec,956015.00
dfo,925809.89
cta,728938.57
ps,717284.01
nrcan,650880.00
pptc,485756.25
pc,483120.95
nrc,449279.00
chrc,325479.56
cfia,231966.40
ppsc,231198.00
vac,159991.10
stats,130547.20
pco,52878.35
fin,22600.00
tc,16934.40
