vendor_normalized,effective_year,sum_yearly_value
AFFINITY VIDEO PRODUCTIONS,2016,118339.25
AFFINITY VIDEO PRODUCTIONS,2017,261448.10
AFFINITY VIDEO PRODUCTIONS,2018,128466.88
AFFINITY VIDEO PRODUCTIONS,2019,7500.38
BEVERTEC CST,2018,151830.63
BEVERTEC CST,2019,334784.20
CISTEL TECHNOLOGY,2017,1851883.35
CISTEL TECHNOLOGY,2018,1851883.35
CISTEL TECHNOLOGY,2019,1696883.10
INTERNATIONAL REPORTING,2015,133623.18
INTERNATIONAL REPORTING,2016,133623.18
INTERNATIONAL REPORTING,2017,133623.18
INTERNATIONAL REPORTING,2018,133623.18
INTERNATIONAL REPORTING,2019,133623.18
LIONBRIDGE,2017,152399.37
LIONBRIDGE,2018,177693.87
LIONBRIDGE,2019,243747.00
LUMINA IT,2017,1135691.13
LUMINA IT,2018,1560928.58
LUMINA IT,2019,1741377.46
NUMERIS,2016,1273471.50
NUMERIS,2017,116411.38
NUMERIS,2018,537033.05
NUMERIS,2019,600767.95
PROTAK CONSULTING GROUP,2019,530125.35
STONEWORKS TECHNOLOGIES,2017,28973.70
STONEWORKS TECHNOLOGIES,2018,570669.95
STONEWORKS TECHNOLOGIES,2019,153674.91
TELUS CANADA,2012,468843.01
TELUS CANADA,2013,468843.01
TELUS CANADA,2014,468843.01
TELUS CANADA,2015,468843.01
TELUS CANADA,2016,468843.01
TELUS CANADA,2017,537391.04
TELUS CANADA,2018,226528.37
TELUS CANADA,2019,226528.37
