source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2016,26,18,8,320044.98,3003801.79
2017,137,90,47,1673959.24,8884859.99
2018,120,70,50,1203012.02,14950158.24
2019,99,49,50,853610.63,7114570.42
