source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2016,26,14,5,7,221133.08,124463.69,2978250.00
2017,137,72,22,43,1228902.20,547078.39,8782838.64
2018,120,57,16,47,880438.78,397952.75,14874778.73
2019,99,42,8,49,680264.81,198345.82,7089570.42
