owner_acronym,sum_effective_value
esdc,106577034.02
fin,62454440.56
cra,47004110.69
phac,44476247.17
dnd,42567780.99
ircc,36093988.07
hc,35944294.95
elections,32373675.00
vac,29724047.72
pch,29416061.00
nrcan,25379629.15
pc,18823595.87
pspc,13053974.41
ps,12870089.55
rcmp,9021670.79
ic,8790412.68
stats,7808410.61
fcac,4610117.09
gac,4301694.61
infra,3174354.95
just,2814360.53
cfia,966386.95
agr,942296.21
ec,851756.89
inac,757990.26
tc,725450.37
nrc,502117.00
dfo,409987.19
cta,382553.62
cbsa,270522.00
isc,203219.20
ssc,117361.22
crtc,116239.50
acoa,99021.29
ced,84191.59
atssc,55057.49
nfb,55025.00
pptc,39064.64
pco,16272.00
