gen_vendor_normalized,total_entries,total_contracts,total_amendments
CANADIAN CORPS OF COMMISSIONAIRES,10,10,0
NORTHERN MICRO,6,6,0
NISHA TECHONOLOGIES,5,5,0
CLARK SOLUTIONS,3,2,1
BURKE CADER MEDIA STRATEGIES,2,1,1
UNIVERSITE SAINTE ANNE,2,2,0
GLOBAL TOTAL OFFICE,1,1,0
ACL SERVICES,1,1,0
HYPERTEC,1,1,0
IMP GROUP,1,1,0
LUMINA IT,1,1,0
MICROTECH SUPPLY SERVICES,1,1,0
PSAV,1,1,0
QMR,1,1,0
STEVEN C GAON,1,1,0
GLOBAL UPHOLSTERY,1,1,0
ACRODEX,1,1,0
CANON,1,1,0
CINDY CLEGG COMMUNICATIONS,1,1,0
DELL COMPUTER,1,1,0
DMH INTERTRANSITION CONSULTING,1,1,0
