owner_acronym,sum_effective_value
ssc,154575675.62
dnd,76810077.81
pspc,31679961.01
cfia,21374073.55
cbsa,13094907.83
cra,7246202.21
tc,6950958.14
pch,4723472.25
nrcan,4516527.42
ircc,4292716.57
gac,4289004.34
esdc,3349634.66
tbs,3214214.94
just,2713832.58
ic,2486471.75
elections,2056519.50
osfi,1634639.38
rcmp,1267103.38
pptc,1260739.06
pco,1256018.18
hc,1048696.81
phac,789902.77
ps,520130.38
cnsc,485564.75
csa,402280.00
fintrac,163885.00
cta,118024.88
csps,77292.00
inac,61931.28
fin,49946.00
ec,46750.00
pc,23100.00
