owner_acronym,sum_effective_value
cbsa,121654141.67
tbs,28869417.83
esdc,24441441.13
ssc,20603086.12
gac,17918301.04
pspc,16087904.81
dnd,14317991.13
ic,12340210.28
inac,9782976.25
cra,8369637.71
infra,6828258.02
nrcan,5919117.08
agr,4203328.70
cc,3555777.45
nrc,3287890.68
pch,2639708.47
stats,2246787.49
oag,2122943.12
tc,2073348.02
ec,2068189.48
hc,1504974.68
phac,1478540.60
pco,1425994.30
rcmp,1211989.25
dfo,1142307.00
csa,1061295.39
feddev,841228.71
ircc,668011.54
cnsc,622746.30
ps,620603.86
just,543232.46
pc,515461.66
fcac,501907.30
cihr,463300.00
osfi,454420.80
fja,405200.21
psc,245199.40
fin,205910.02
cfia,174336.00
lac,157863.78
acoa,141971.97
ced,106281.32
nserc,77106.00
csps,74149.00
wd,49350.00
elections,42101.93
vac,33515.54
cas,25000.00
irb,24860.00
psic,24835.14
opc,24719.63
fintrac,19888.00
