owner_acronym,sum_effective_value
dnd,54639763.70
rcmp,21440698.65
phac,15848356.77
cra,12142240.80
ssc,12028686.84
dfo,9935672.71
pspc,6298740.33
hc,4782695.00
pc,3573566.84
gac,3386671.16
esdc,3238514.16
ircc,3078013.29
cfia,3026402.51
ec,2989007.12
csc,2902647.50
vac,2373553.41
ic,1579750.61
stats,1416926.25
cbsa,1332578.15
pptc,1252979.99
lac,1180339.16
psc,1046913.00
inac,1032435.54
tc,1002800.13
fin,929954.05
agr,893104.30
pco,707545.31
cer,589742.79
acoa,528390.38
elections,519753.21
nrcan,490806.37
irb,323972.18
nrc,275350.90
tbs,245413.27
csps,206285.85
oag,164015.52
just,144473.73
oic,128162.69
csa,114667.62
infra,113467.71
cnsc,104835.16
cta,93858.47
cpc,86817.90
feddev,79148.00
pch,64561.06
ijc,57533.08
cas,47091.50
nserc,41873.35
osfi,34994.98
osgg,28261.21
isc,24846.36
fcac,23594.40
nfb,23581.80
atssc,19265.37
ps,15183.81
opc,11342.86
ppsc,10667.10
fintrac,719.85
