source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2016,4,3,1,49914.05,58500.00
2017,19,13,6,211353.58,462043.52
2018,18,13,5,193832.21,480100.12
2019,20,15,5,238398.19,289049.61
