vendor_normalized,effective_year,sum_yearly_value
BIAPRO INFORMATION SOLUTIONS,2017,18077.74
BIAPRO INFORMATION SOLUTIONS,2018,38077.74
BIAPRO INFORMATION SOLUTIONS,2019,23165.00
DAVID APLIN ASSOCIATES,2017,38239.20
DAVID APLIN ASSOCIATES,2018,2983.20
DAVID APLIN ASSOCIATES,2019,54747.37
ELBY PROFESSIONAL RECRUITMENT,2017,9605.00
ELBY PROFESSIONAL RECRUITMENT,2018,35509.71
KPMG,2018,53816.74
KPMG,2019,96981.51
LUCIDWORKS,2018,50883.69
LUCIDWORKS,2019,50883.69
NEAL SUSAN,2017,121000.00
NEAL SUSAN,2018,62500.00
ONX ENTERPRISE SOLUTIONS,2017,24646.21
ONX ENTERPRISE SOLUTIONS,2018,24646.21
PTC RECRUITING,2017,48165.12
PTC RECRUITING,2018,48165.12
ROBERT HALF TECHNOLOGY,2018,25456.64
ROBERT HALF TECHNOLOGY,2019,25456.64
SUSAN NEAL,2018,72500.00
SUSAN NEAL,2019,72500.00
