owner_acronym,sum_effective_value
ssc,31368796.52
tc,13863655.41
ircc,9512556.12
pco,8434156.70
esdc,7413119.73
inac,7210345.63
hc,5537662.31
phac,2758827.40
pspc,2513133.99
cbsa,2066831.12
cra,1549972.06
ps,1523522.50
nserc,1083119.12
gac,1041263.44
psc,910943.74
pptc,848605.28
elections,696294.36
dnd,513579.91
fin,501254.44
csps,404772.78
cnsc,388726.87
ec,255934.36
dfo,204120.00
cas,193908.00
cta,159713.68
pc,131266.01
rcmp,92433.92
just,84614.40
ic,83540.88
pch,78512.40
cfia,52500.00
csa,36702.40
atssc,27061.35
infra,24153.75
lac,11746.35
