owner_acronym,total_entries,total_contracts,total_amendments
ircc,48,47,1
esdc,43,42,1
cra,40,32,8
ssc,36,31,5
nrcan,29,29,0
fin,27,19,8
ic,25,25,0
hc,25,20,5
pptc,19,19,0
psc,19,16,3
dfo,18,18,0
phac,18,16,2
tbs,17,16,1
agr,17,17,0
just,16,14,2
dnd,16,16,0
tc,14,14,0
stats,14,14,0
ps,13,13,0
csc,12,12,0
ec,11,11,0
cfia,10,10,0
osfi,10,10,0
inac,6,6,0
rcmp,5,5,0
tsb,4,4,0
cbsa,4,4,0
cgc,3,3,0
pspc,3,3,0
nrc,3,3,0
elections,3,3,0
pmprb,3,3,0
pco,2,2,0
cta,2,2,0
pch,2,2,0
oag,1,1,0
swc,1,1,0
pc,1,1,0
gac,1,1,0
