owner_acronym,sum_effective_value
stats,29581068.88
esdc,13304149.86
ssc,12121679.02
phac,10164639.79
pspc,9929503.51
ircc,5595392.52
hc,4974076.99
psc,4781162.72
fin,4705475.65
pptc,3784979.73
cra,3720078.27
dfo,2323274.58
rcmp,2110710.00
agr,1943337.73
tbs,1842824.28
ec,1344628.82
elections,1254982.02
csc,927038.79
dnd,870323.90
tc,864128.52
nrcan,840171.90
ic,835253.17
ps,748257.09
just,385593.50
osfi,324409.74
cfia,219204.11
cta,154755.58
cgc,147500.85
inac,129718.78
cbsa,82227.84
nrc,50406.98
pco,40503.72
pmprb,37408.65
tsb,25783.14
oag,20950.20
swc,16352.89
pch,13896.05
