owner_acronym,sum_effective_value
tbs,21245719.83
pspc,16993387.58
dnd,16213252.25
ircc,12536522.99
esdc,11400687.52
ssc,10971763.56
rcmp,10436408.33
cbsa,8550596.69
cra,6788402.50
gac,4453764.96
cfia,4124763.62
hc,3932547.82
ic,3584366.28
csc,3316518.61
phac,3118586.97
tc,2561073.09
ec,2331901.51
elections,2286226.35
just,2047576.22
dfo,1973806.90
agr,1970211.94
stats,1942792.06
pch,1784212.07
nrcan,1783770.49
nrc,1720162.19
nserc,1590732.68
psc,1558069.26
cnsc,1492307.32
inac,1149472.15
infra,1118000.42
fintrac,1093387.52
lac,1011431.93
vac,984766.70
pptc,912150.93
pco,892226.00
ps,734474.57
ced,661550.06
pc,600446.97
atssc,564411.02
osfi,539790.45
fcac,416698.39
isc,323108.50
oag,296237.68
cihr,278019.65
acoa,198225.00
csps,184563.13
ppsc,179003.30
feddev,158669.92
oic,126853.80
cta,117628.05
crtc,99199.14
opc,78803.87
ocol,61291.20
fin,59352.75
csa,56843.64
chrc,40830.67
mgerc,36547.94
