vendor_normalized,effective_year,sum_yearly_value
ALTIS HUMAN RESOURCES,2010,536597.12
ALTIS HUMAN RESOURCES,2011,889160.30
ALTIS HUMAN RESOURCES,2012,253465.85
ALTIS HUMAN RESOURCES,2013,36775.85
ALTIS HUMAN RESOURCES,2014,9552.68
BAGG TECHNOLOGY RESOURCES,2010,165388.45
BAGG TECHNOLOGY RESOURCES,2011,441908.00
BAGG TECHNOLOGY RESOURCES,2012,60579.50
BELL CANADA,2013,10678.50
BELL CANADA,2014,760814.42
BELL CANADA,2015,911268.87
BELL CANADA,2016,975512.91
BELL CANADA,2017,1402045.28
BELL CANADA,2018,1402045.28
BELL CANADA,2019,374553.41
DELOITTE AND TOUCHE,2012,231729.31
DELOITTE AND TOUCHE,2013,151980.79
DELOITTE AND TOUCHE,2014,293925.81
DELOITTE AND TOUCHE,2015,207369.00
DELOITTE AND TOUCHE,2017,24973.00
DELOITTE AND TOUCHE,2019,97360.80
ERNST YOUNG,2012,134307.96
ERNST YOUNG,2013,104881.00
ERNST YOUNG,2017,99153.00
ERNST YOUNG,2018,48973.29
ERNST YOUNG,2019,65923.29
GOSS GILROY,2013,56370.00
GOSS GILROY,2014,70361.00
GOSS GILROY,2015,96746.50
GOSS GILROY,2016,171816.50
GOSS GILROY,2017,107350.00
GOSS GILROY,2019,84185.00
KEITH BAGG STAFFING RESOURCES,2010,1112455.04
KEITH BAGG STAFFING RESOURCES,2011,11950.00
MASHA KRUPP TRANSLATION GROUP,2010,33900.00
MASHA KRUPP TRANSLATION GROUP,2011,71724.65
MASHA KRUPP TRANSLATION GROUP,2012,170499.09
MASHA KRUPP TRANSLATION GROUP,2013,129794.69
MASHA KRUPP TRANSLATION GROUP,2014,273883.62
MASHA KRUPP TRANSLATION GROUP,2015,116107.05
MASHA KRUPP TRANSLATION GROUP,2016,246545.83
MASHA KRUPP TRANSLATION GROUP,2017,134251.89
MASHA KRUPP TRANSLATION GROUP,2018,90979.16
MASHA KRUPP TRANSLATION GROUP,2019,42375.00
NAVIGANT CONSULTING,2010,573516.50
NAVIGANT CONSULTING,2011,573516.50
PUBLIC WORKS AND GOVERNMENT,2010,1383132.77
PUBLIC WORKS AND GOVERNMENT,2011,1412832.77
PUBLIC WORKS AND GOVERNMENT,2012,173963.00
PUBLIC WORKS AND GOVERNMENT,2013,62129.34
PUBLIC WORKS AND GOVERNMENT,2014,8750.00
