source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,135,93,42,1497769.74,2945299.28
2011,77,43,34,742206.93,1814657.50
2012,77,34,43,567831.45,1986633.96
2013,42,22,20,336348.50,1384301.05
2014,51,28,23,480841.15,3253418.39
2015,39,26,13,402845.27,718447.99
2016,32,20,12,328624.69,613946.94
2017,28,19,9,275500.59,513513.87
2018,39,24,15,391345.61,859428.69
2019,52,25,27,457090.04,2128309.49
