gen_vendor_normalized,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,101,42,59
KEITH BAGG STAFFING RESOURCES,65,30,35
BAGG TECHNOLOGY RESOURCES,56,23,33
MASHA KRUPP TRANSLATION GROUP,54,26,28
POI BUSINESS INTERIORS,34,20,14
DELOITTE AND TOUCHE,21,14,7
STEELCASE CANADA,20,10,10
LANGUAGE STUDIO THE,17,10,7
CANADIAN CORPS OF COMMISSIONAIRES,15,8,7
BELL CANADA,14,6,8
CANON,13,4,9
EQUIFAX CANADA,13,8,5
ECOLE DE LANGUES LA CITE,12,10,2
PUBLIC WORKS AND GOVERNMENT,12,9,3
TELECOM COMPUTER SERVICES,12,6,6
SOFTCHOICE,12,6,6
ACOLE DE LANGUES LA CITA,12,9,3
CANADIAN PRESS ENTERPRISES,11,6,5
ERNST YOUNG,11,9,2
PAUL A BARNETT ASSOCIATES,9,6,3
GOSS GILROY,9,7,2
NORTHERN MICRO,8,6,2
DYNAMIC PERSONNEL CONSULTANTS,8,3,5
POSTMEDIA NETWORK,8,4,4
GLOBAL ADVANTAGE CONSULTING GROUP,8,5,3
SERVICES LINGUISTIQUES MORIN,7,3,4
THE AIM GROUP,7,2,5
RED TREE PRODUCTIONS,7,5,2
COPEM CONSULTING,7,6,1
ACTIVO,7,4,3
INFO TECH RESEARCH GROUP,7,7,0
MEDIA Q,7,4,3
CORPORATE TELECOM SERVICES,6,3,3
ENDLESS FILMS,6,5,1
HICKLING ARTHURS LOW,6,4,2
EXCEL HUMAN RESOURCES,6,2,4
MANPOWER SERVICES CANADA,6,3,3
GARTNER,6,5,1
NISHA TECHONOLOGIES,6,4,2
ADECCO SERVICES DE RESOURCES,6,3,3
EVISION SOFTSIM TECHNOLOGIES,5,2,3
SYLVIE MERCIER,5,3,2
SLOFAC,5,2,3
SHRED IT,5,2,3
TOYOTA CANADA,5,3,2
RR INTERNATIONAL TRANSLATION,5,3,2
CONFERENCE BOARD OF CANADA THE,5,4,1
ERNEST STOKES TOM MCCORMACK,5,3,2
FRISCHKORN AUDIO VISUAL,5,3,2
FORD MOTOR COMPANY,4,2,2
CDW CANADA,4,2,2
ADECCO EMPLOYMENT SERVICES,4,1,3
DELL COMPUTER,4,2,2
SCIENCE METRIX,4,2,2
INTERNATIONAL DATA,4,4,0
ECOLE DE LANGUES ABCE,4,4,0
INFOLASER CANADA,4,2,2
LUMINA IT,4,2,2
XEROX,4,2,2
HACKETT CONSULTING,4,2,2
GLOBAL UPHOLSTERY COMPANY,4,2,2
FERENCE WEICKER COMPANY,4,4,0
FMC PROFESSIONALS,4,2,2
COLLINS ENGINEERING GROUP,4,1,3
SPACESAVER MOBILE STORAGE SYSTEMS,3,2,1
ARTEMP PERSONNEL SERVICES,3,1,2
J A CREATIVE SERVICES,3,2,1
EPIXUS,3,3,0
HONEY DESIGN MARKETING,3,1,2
WESTBAY RESEARCH,3,2,1
ANET SOLUTIONS,3,1,2
FERENCE COMPANY CONSULTING,3,3,0
TOTEM OFFISOURCE,3,3,0
SAMSON ASSOCIATES CONSULTING,3,2,1
SAMSON ASSOCIES,3,2,1
CISION CANADA,3,2,1
MARKETWIRE CANADA,3,1,2
TIMOTHY R FRASER,3,2,1
AERIC,3,2,1
MARKETWIRE,3,2,1
QMR,3,2,1
IRENE MEEK,3,1,2
EDGAR,3,2,1
2946271 CANADA,3,2,1
1143048 ONTARIO,2,2,0
148514 CANADA,2,1,1
ACCURATE DESIGN COMMUNICATION,2,2,0
AILEEN MURRAY,2,1,1
ALKAMO,2,1,1
ALLSEATING,2,1,1
BULLDOG FIRE SECURITY,2,1,1
CAISSEN WATER TECHNOLOGIES,2,1,1
CANADIAN ATLAS FURNITURE,2,1,1
CANADIAN PRESS THE,2,1,1
CANWEST INTERACTIVE,2,1,1
CARAHSOFT TECHNOLOGY,2,2,0
DENMAR DISPLAYS EXHIBITS,2,1,1
DRAKE INTERNATIONAL,2,1,1
ENSEIGNES PATTISON SIGN GROUP,2,1,1
EUROMONITOR INTERNATIONAL,2,2,0
EVENT SOURCE,2,2,0
FROST SULLIVAN,2,1,1
GLENCASTLE SECURITY,2,1,1
GLOBAL UPHOLSTERY,2,1,1
GRAYBRIDGE INTERNATIONAL CONSULTING,2,2,0
HAWORTH,2,1,1
HR ASSOCIATES,2,1,1
IAN MARTIN,2,1,1
IMPACT GROUP THE,2,2,0
JPOM,2,1,1
KELLY SERVICES CANADA,2,1,1
KNOWLEDGE CIRCLE LEARNING SERVICES,2,2,0
KOMUTEL,2,1,1
KUMPFORT ZONE WAREHOUSING,2,1,1
LONDON LIFE INSURANCE COMPANY,2,1,1
LYRECO CANADA,2,1,1
MARY HELEN KAIZER,2,1,1
MAXSYS STAFFING CONSULTING,2,1,1
REALEX GALLERIA,2,1,1
RESOLUTIONS CONSULTING,2,1,1
ROYAL MOVING STORAGE OTTAWA,2,2,0
SAGE DATA SOLUTIONS,2,1,1
SG CUNNINGHAM KITCHENER,2,1,1
SYSTEMSCOPE,2,1,1
TAG HR THE ASSOCIATES GROUP,2,1,1
TELETREND TECHNOLOGIES,2,1,1
THOMSON REUTERS CANADA,2,2,0
WCM CONSULTING,2,2,0
ABI ADVANCED BUSINESS INTERIORS,1,1,0
GLOBE AWARDS PROMOTIONS,1,1,0
MARC ANDRA CHARLEBOIS,1,1,0
GCSTRATEGIES,1,1,0
FUNDING PORTAL THE,1,1,0
MARS DISCOVERY DISTRICT,1,1,0
MARTIN LABELLE,1,1,0
MARTNALL HOLDINGS,1,1,0
TETRAD COMPUTER APPLICATIONS,1,1,0
FERRABEE INTERNATIONAL,1,1,0
AFFINITY VIDEO PRODUCTIONS,1,1,0
MCSWEENEY ASSOCIATES CONSULTING,1,1,0
MEDIACO THE PRESENTATION COMPANY,1,1,0
FELDMAN DAXON PARTNERS,1,1,0
MEGALEXIS COMMUNICATIONS,1,1,0
MIGHTON ENGINEERING,1,1,0
MIKMAQ OFFICE FURNITURE INTERIOR,1,1,0
NATIONS TRANSLATION GROUP,1,1,0
NGL NORDICITY GROUP,1,1,0
EXP SERVICES,1,1,0
ENTERPRISE RENT A CAR CANADA COMPANY,1,1,0
NOVEXCO,1,1,0
ONTARIO AEROSPACE COUNCIL,1,1,0
OPENTEXT,1,1,0
ENTERPRISE RENT A CAR CANADA COMPAN,1,1,0
PERFORMANCE MANAGEMENT NETWORK,1,1,0
PILOT HILL,1,1,0
DEEP CENTRE,1,1,0
CROWE,1,1,0
CRAIG DOWDEN ASSOCIATES,1,1,0
COLIN LINDSAY DEVELOPMENT,1,1,0
QUINTET CONSULTING,1,1,0
WILLIAM M BIGGS,1,1,0
RECORDXPRESS,1,1,0
CEGEP MARIE VICTORIN,1,1,0
ADVANCED BUSINESS INTERIORS,1,1,0
RONALD BISSON AND ASSOCIATES,1,1,0
ACT ONE INTERNATIONAL,1,1,0
CANADIAN MANUFACTURERS AND EXPORTS,1,1,0
ACOLE DE LANGUES ABCE,1,1,0
CANADIAN MANUFACTURERS AND,1,1,0
SAMSON ASSOCIATES CPA CONSULTING,1,1,0
CALYTERA SOFTWARE,1,1,0
BRENDA BARKER SCOTT CONSULTING,1,1,0
BRC BUSINESS ENTERPRISES,1,1,0
UNIVERSITE DU QUEBEC A MONTREAL,1,1,0
BLOOMBERG,1,1,0
SIMPLEX GRINNELL,1,1,0
