vendor_normalized,effective_year,sum_yearly_value
49 SOLUTIONS,2016,310185.00
49 SOLUTIONS,2017,1159927.08
49 SOLUTIONS,2018,1159927.08
CGI,2015,253796.12
CGI,2016,253796.12
CGI,2017,188679.56
CGI,2018,219580.24
CGI,2019,179395.99
CISTEL TECHNOLOGY,2016,373303.70
CISTEL TECHNOLOGY,2017,885825.00
CISTEL TECHNOLOGY,2018,1097266.29
CISTEL TECHNOLOGY,2019,2754668.98
MAPLESOFT CONSULTING,2018,963965.33
MAPLESOFT CONSULTING,2019,1696002.53
MICROSOFT CANADA,2016,26750.00
MICROSOFT CANADA,2017,161039.07
MICROSOFT CANADA,2018,190669.75
MICROSOFT CANADA,2019,125076.59
NATIONS TRANSLATION GROUP GROUPE DE TRADUCTION DES NATIONS,2014,271623.34
NATIONS TRANSLATION GROUP GROUPE DE TRADUCTION DES NATIONS,2015,271623.34
NATIONS TRANSLATION GROUP GROUPE DE TRADUCTION DES NATIONS,2016,271623.34
NATIONS TRANSLATION GROUP GROUPE DE TRADUCTION DES NATIONS,2017,271623.34
NATIONS TRANSLATION GROUP GROUPE DE TRADUCTION DES NATIONS,2018,271623.34
NATIONS TRANSLATION GROUP GROUPE DE TRADUCTION DES NATIONS,2019,271623.34
QMR,2016,259843.50
QMR,2017,192043.50
QMR,2019,55172.25
TEKNION,2018,477429.52
TEKNION,2019,384699.32
TERAMACH TECHNOLOGIES,2017,95116.59
TERAMACH TECHNOLOGIES,2018,289638.07
TERAMACH TECHNOLOGIES,2019,271089.03
THE MASHA KRUPP TRANSLATION GROUP,2014,181772.06
THE MASHA KRUPP TRANSLATION GROUP,2015,181772.06
THE MASHA KRUPP TRANSLATION GROUP,2016,181772.06
THE MASHA KRUPP TRANSLATION GROUP,2017,181772.06
THE MASHA KRUPP TRANSLATION GROUP,2018,456249.06
THE MASHA KRUPP TRANSLATION GROUP,2019,515800.53
