gen_vendor_normalized,total_entries,total_contracts,total_amendments
MAPLESOFT CONSULTING,60,24,36
CISTEL TECHNOLOGY,48,19,29
THE AIM GROUP,13,6,7
MICROSOFT CANADA,12,11,1
CGI,11,5,6
ABI ADVANCED BUSINESS INTERIORS,11,9,2
ITEX,10,10,0
ASAP REPORTING SERVICES,9,6,3
THE RIGHT DOOR CONSULTING SOLUTIONS,8,6,2
IRON MOUNTAIN CANADA OPERATIONS,7,6,1
THE MASHA KRUPP TRANSLATION GROUP,7,2,5
LEXUM INFORMATIQUE JURIDIQUE,6,3,3
CONEXSYS,6,6,0
TEKNION,6,5,1
STENO TRAN SERVICES,6,4,2
WESTBURY NATIONAL SHOW SYSTEMS,6,4,2
THOMSON REUTERS CANADA,5,4,1
THE ATTAIN GROUP,5,4,1
ASOKAN BUSINESS INTERIORS,5,5,0
XEROX,5,2,3
MDOS CONSULTING,5,1,4
CALIAN,5,5,0
CANADIAN CORPS OF COMMISSIONAIRES,5,5,0
CANADIAN INSTITUTE FOR THE ADMINISTRATION OF JUSTICE INSTITUT CANADIEN DADMINISTRATION DE LA JUSTICE,5,3,2
IPSS,5,5,0
IBM CANADA,5,2,3
GROUPE INTERSOL GROUP,5,4,1
GARTNER,4,4,0
EXCEL HUMAN RESOURCES,4,4,0
ALTIS HUMAN RESOURCES,4,3,1
NISHA TECHONOLOGIES,4,4,0
49 SOLUTIONS,4,1,3
VMWARE,4,4,0
TERAMACH TECHNOLOGIES,4,4,0
BESC OTTAWA,4,4,0
QMR,4,4,0
SAIDOU KINDO DAN MALAM,4,2,2
LEXISNEXIS CANADA,4,2,2
1019837 ONTARIO,3,1,2
AVI SPL CANADA,3,3,0
CYPHERCOR,3,3,0
INFO TECH RESEARCH GROUP,3,3,0
INTERNATIONAL REPORTING,3,3,0
OPENTEXT,3,1,2
PIERRE HAMEL,3,2,1
RANDSTAD,3,2,1
STENOTRAN SERVICES,3,3,0
UPSTREAM BUSINESS SOLUTIONS,3,2,1
ZOHO,3,1,2
SIMPLY VOTING,2,2,0
INSTALLATIONS DELIVERIES PLUS OTTAWA,2,1,1
INTELIVOTE SYSTEMS,2,2,0
SOFTCHOICE,2,2,0
BRICAN PERSONNEL,2,1,1
CENTRE FOR COMMUNITY LEARNING DEVELOPMENT,2,1,1
NORTHERN MICRO,2,2,0
STONEWORKS TECHNOLOGIES,2,1,1
170963 CANADA,2,2,0
SYSTEMSCOPE,2,1,1
FAST TRACK STAFFING,2,2,0
OPTRICS,2,2,0
PHL MONARCH CONNECTION,2,1,1
WORKPLACE SAFETY PREVENTION SERVICES,2,2,0
GTI CANADA,2,2,0
ECOLE DE LANGUES ABCE,2,2,0
ADRM TECHNOLOGY CONSULTING,2,1,1
BILINGUA INTERPRETATION,2,1,1
PRICEWATERHOUSE COOPERS,2,1,1
BDO CANADA,2,1,1
QUADBRIDGE,2,2,0
8847452 CANADA,2,2,0
QUINTET CONSULTING,2,2,0
7260491 CANADA,2,1,1
QUORUS CONSULTING GROUP,2,1,1
MEGALEXIS COMMUNICATIONS,2,2,0
TRM TECHNOLOGIES,2,2,0
RAYMOND CHABOT GRANT THORNTON CIE,2,1,1
CAPITAL OFFICE INTERIORS,2,2,0
MIKE BLOCK CONSULTING,2,2,0
GEORGE STONYK,2,2,0
RYAN SMITH DESIGN ASSOCIATES,2,2,0
INGENIUM COMMUNICATIONS,2,1,1
KONICA MINOLTA BUSINESS SOLUTIONS CANADA,2,1,1
CSDC SYSTEMS,2,2,0
VEEAM SOFTWARE CANADA,2,2,0
SIMPLEX GRINNELL,2,2,0
PLEIAD CANADA,1,1,0
PRESIDIA SECURITY CONSULTING,1,1,0
ARTEMP PERSONNEL SERVICES,1,1,0
WPP GROUP CANADA COMMUNICATIONS,1,1,0
RBG SYSYTEMES,1,1,0
RICOH,1,1,0
ROGERS,1,1,0
APPLIED ELECTONICS,1,1,0
SHIRLEY SMEATHERS,1,1,0
SI SYSTEMS,1,1,0
SOCIETE GAMMA,1,1,0
SPI CONSULTANTS,1,1,0
AFFINITY VIDEO PRODUCTION,1,1,0
1317855 ONTARIO,1,1,0
SYLVIE LAMOTHE,1,1,0
ADVANCED CHIPPEWA TECHNOLOGIES,1,1,0
TEKSYSTEMS CANADA,1,1,0
TELFER EXECUTIVE PROGRAMS,1,1,0
TELUS CANADA,1,1,0
ADVANCED BUSINESS INTERIORS,1,1,0
TES LEADERSHIP GROUP,1,1,0
ACCURATE DESIGN COMMUNICATIONS,1,1,0
THE KNOWLEDGE TRANSFER COMPANY TKTC,1,1,0
THE KNOWLEDGE TRANSFER COMPANYTKTC,1,1,0
9051 8176 QUEBEC,1,1,0
THE VCAN GROUP,1,1,0
TOSHIBA OF CANADA,1,1,0
TPG TECHNOLOGY CONSULTANTS,1,1,0
