gen_vendor_normalized,total_entries,total_contracts,total_amendments
SHARP ELECTRONICS,60,57,3
SAMSON ASSOCIATES CPA CONSULTING,22,22,0
SAMSON ASSOCIATES,19,19,0
XEROX,18,15,3
ADVANCED BUSINESS INTERIORS,17,16,1
APPLIED ELECTONICS,16,16,0
EXCEL HUMAN RESOURCES,15,14,1
SKILLSOFT CANADA,14,10,4
TELUS CANADA,14,14,0
NORTHERN MICRO,13,13,0
SOLOTECH,12,12,0
DURIVAGE MANAGEMENT SOLUTIONS,11,11,0
INTEGRATED LEARNING INTERNATIONAL,11,11,0
DOCUMENTS MAJEMTA,9,7,2
TOTEM OFFISOURCE,9,9,0
GOSS GILROY,9,9,0
MC PLANNING,9,9,0
ADVANCED CHIPPEWA TECHNOLOGIES,9,9,0
FRISCHKORN ASSOCIATES,8,8,0
INSIGHTS LEARNING DEVELOPMENT,8,7,1
SAMSON ASSOCIATES CPA CONSULTIN,8,7,1
TAG HR,8,5,3
COLIN LINDSAY DEVELOPMENT,7,7,0
MICROSOFT CANADA,7,7,0
NISHA TECHONOLOGIES,7,7,0
CANADIAN CORPS OF COMMISSIONAIRES,7,7,0
ITEX,7,7,0
ALTIS HUMAN RESOURCES,7,7,0
MAPLESOFT CONSULTING,7,4,3
GENESIS INTEGRATION,7,7,0
TOP BOX CONSULTING GROUP,7,7,0
TURTLE ISLAND STAFFING,7,5,2
VERSATIL BPI,7,6,1
SAMSON ASSOCIATES CPA CONSULTING SERVICES,6,6,0
CDW CANADA,6,5,1
IBM CANADA,6,3,3
AVIARY GROUP,6,6,0
NC CONSULTING AND TRAINING,6,6,0
COLLAGE ADUCACENTRE COLLEGE,6,6,0
THE RETIREMENT PLANNING INSTITUTE,6,6,0
GLOBAL UPHOLSTERY,6,6,0
QMR,6,5,1
GELDER GINGRAS ASSOCIATES,6,6,0
INSIGHTS LEARNING AND DEVELOPMENT,6,6,0
MAXSYS STAFFING AND CONSULTING,6,4,2
PROMAXIS,6,5,1
LA CITA COLLAGIALE,6,6,0
THE CONFERENCE BOARD OF CANADA,6,4,2
APPRENTISSAGE CONTINUUM LEARNING,6,6,0
ACOLE DE LANGUES ABCE,6,6,0
ADRM TECHNOLOGY CONSULTING,6,5,1
6175015 CANADA,5,1,4
FRISCHKORN AUDIO VISUAL,5,5,0
SPECTRA INTERACTIVE LEARNING,5,4,1
ECLIPSYS SOLUTIONS,5,5,0
ACOLE DE LANGUES LA CITA,5,5,0
DELOITTE AND TOUCHE,5,3,2
SPEEDY MESSENGER SERVICE,4,2,2
SYRECON,4,4,0
ESSI SYSTEMS,4,3,1
TEKNION,4,4,0
SABA,4,2,2
PROSCI CANADA,4,4,0
GARTNER,4,4,0
GILMORE REPRODUCTIONS,4,1,3
SIMPLEX GRINNELL,4,1,3
EBSCO CANADA,4,2,2
RICOH,4,4,0
CENTRE DE FORMATION PROFESSIONNELLE ET LINGUISTIQUE CARON LTAE,4,3,1
NC CONSULTING TRAINING,3,3,0
CBCI TELECOM,3,3,0
MAX DIGITAL BROADCASTING,3,3,0
SIMNER,3,2,1
CSI CONSULTING,3,1,2
ACOLE DE LANGUES CREUSOT,3,3,0
ADOBE,3,3,0
SI SYSTEMS,3,2,1
CALIAN,3,3,0
4FORWARD,3,1,2
NOVA NETWORKS,3,3,0
VUBIZ,3,1,2
LOBB MANAGEMENT SERVICES,3,3,0
RODRIGUE ESCAYOLA,3,3,0
CEV,3,3,0
RANDSTAD,3,2,1
JWB CLEMENS CONSULTING,3,1,2
ECOLE DE LANGUES ABCE,3,3,0
EDUCPRO,3,3,0
QUANTUM MANAGEMENT SERVICES,3,2,1
LES SYSTEMES ET SERVICES DINTERPRETATION LMB,3,3,0
CENTRE DE LANGUES CHARPENTIER,3,2,1
CARBON COPY DIGITAL,3,2,1
DAVE GILMOUR,3,2,1
QUINTET CONSULTING,3,2,1
IMPRIMERIE DU PROGRES,3,1,2
DELTA PRINTING,3,2,1
TRM TECHNOLOGIES,3,2,1
3627730 CANADA,3,3,0
THOMAS SCHMIDT,3,1,2
PLEIAD CANADA,2,1,1
CAPITAL TRAITEUR GATINEAU,2,2,0
PRINTERS PLUS,2,2,0
PRODUCTIONS STONEHAVEN,2,1,1
INFINITY CONSULTING TEAM,2,2,0
QUEST SOFTWARE CANADA,2,2,0
RAYMOND CHABOT GRANT THORNTON,2,2,0
CARAHSOFT TECHNOLOGY,2,2,0
RHEA,2,2,0
INSIGHT SOFTWARE CANADA,2,2,0
INTEGRA NETWORKS,2,2,0
BYTOWN CATERING,2,2,0
SAMSON AND ASSOCIATES CPA CONSULTING,2,2,0
ADVANCED PRESENTATION PRODUCTS,2,1,1
INTERACTIVE AUDIO VISUAL,2,2,0
ALIKA INTERNET TECHNOLOGIES,2,2,0
WATERSHED INFORMATION TECHNOLOGY,2,1,1
IVANS AUDIO VISUAL,2,2,0
CSDC SYSTEMS,2,2,0
DYNAMIC PERSONNEL CONSULTANTS,2,2,0
CBCI TELECOM CANADA,2,2,0
KPMG,2,1,1
EKOS RESEARCH ASSOCIATES,2,1,1
ELEARNING LAIR,2,1,1
LAURIN ASSOCIATES,2,2,0
LEADERSHIP DYNAMIKS ASSOCIATES,2,2,0
ERNST YOUNG,2,2,0
MOORE CANADA,2,1,1
COLLAGE EDUCACENTRE COLLEGE,2,2,0
LISA CORMIER ASSOCIATES,2,2,0
GROUPE POLIQUIN WAKEFIELD GROUP,2,2,0
AVI SPL CANADA,2,2,0
LV DAVIES AND ASSOCIATES,2,2,0
ACOLE DE LANGUES LA CITAC,2,2,0
ACRODEX,2,2,0
THRESHOLD ASSOCIATES,2,2,0
TIPPET RICHARDSON,2,1,1
WORKDYNAMICS TECHNOLOGIES,2,2,0
MHS MULTI HEALTH SYSTEMS,2,2,0
MNP,2,1,1
MARKIDO,2,2,0
CLA PERSONNEL,2,2,0
BDMK CONSULTANTS,2,2,0
UNIVERSITE DE SAINT BONIFACE,2,1,1
ADVIVUM,2,2,0
HOULE RUTHERFORD CONSULTING,2,2,0
PALAIS DES CONGRAS DE GATINEAU,2,2,0
ADWARE PROMOTIONS,2,2,0
HYPERTEC,2,2,0
4165047 CANADA,2,2,0
NEOPOST CANADA,1,1,0
NOVA VISUAL PRODUCTS,1,1,0
OCAD UNIVERSITY,1,1,0
OLAV CONSULTING,1,1,0
OLIVUS,1,1,0
ONEELEVEN OTTAWA,1,1,0
OPENFRAME TECHNOLOGIES,1,1,0
OTTAWA CONVENTION CENTRE,1,1,0
PERSONALITY INSIGHTS,1,1,0
PHASELOCK SYSTEMS,1,1,0
PHASELOCK SYSTEMS INTL,1,1,0
PLANOVATION,1,1,0
POWER TOWER,1,1,0
PRESIDIA SECURITY CONSULTING,1,1,0
PROLOGIC SYSTEMS,1,1,0
PROXIMIFY,1,1,0
REDWOOD PERFORMANCE GROUP,1,1,0
RESPECT GROUP,1,1,0
RETIREMENT PLANNING INSTITUTE,1,1,0
RFP SOLUTIONS,1,1,0
RHONDA LENTON,1,1,0
RICHARD DICERNI,1,1,0
RICHARD W POUND,1,1,0
RODD CHARLOTTETOWN A RODD SIGNATURE HOTEL,1,1,0
RON GRAHAM AND ASSOCIATES,1,1,0
ROSEMARIE NARDELLA,1,1,0
SALIM DAKHIA,1,1,0
SANDBOX LA BOITE A FILMS,1,1,0
SARAGRAFIX,1,1,0
SBM CONSULTING,1,1,0
SEAPINE SOFTWARE,1,1,0
SENTIS CANADA,1,1,0
SHER ASSOCIATES II,1,1,0
SHI CANADA,1,1,0
SIMEX DEFENCE,1,1,0
SITEIMPROVE,1,1,0
SKILLSOFT,1,1,0
SOFTCHOICE,1,1,0
SOLUTIONS MOERAE,1,1,0
SONOTECHNIQUE PJL,1,1,0
SONO VIDEO,1,1,0
SOUND WAVES ENTERTAINMENT,1,1,0
SOUND WAVES ENTERTAINMENT NETWORK,1,1,0
SPIRIT STAFFING,1,1,0
SPIRIT STAFFING AND CONSULTING,1,1,0
STARSHIP LOGISTICS,1,1,0
STEVEN SLOMAN,1,1,0
STRATEGIC RELATIONSHIPS SOLUTION,1,1,0
SUDDEN SERVICE TECHNOLOGIES,1,1,0
SUMMIT TEAM BUILDING,1,1,0
SUMMIT TRAINING,1,1,0
