owner_acronym,effective_year,sum_yearly_value
tbs,2016,274423.58
tbs,2017,201592.00
tbs,2018,376877.60
tbs,2019,1049180.64
tc,2011,792766.49
tc,2012,1776000.94
tc,2013,1256002.68
tc,2014,596353.34
tc,2015,334341.20
tc,2016,223406.12
tc,2017,345083.38
tc,2018,133977.23
tc,2019,247730.53
tsb,2018,24834.60
vac,2013,162039.09
vac,2014,270255.52
vac,2015,1001525.01
vac,2016,58026.00
vrab,2015,7299.50
vrab,2016,7299.50
wage,2019,139258.04
