owner_acronym,sum_effective_value
hc,11776593.44
phac,11546820.78
cbsa,10253479.70
tbs,6579934.30
dnd,6211029.32
tc,5956979.66
pspc,5457791.67
gac,4682676.14
esdc,3745566.31
ps,2987101.90
inac,2739765.60
ssc,2275718.01
isc,2202017.22
infra,1840447.08
ec,1767236.42
nrcan,1553666.63
just,1506181.93
cfia,1273531.68
vac,1240709.56
cnsc,1239272.41
pco,1051829.22
cra,963014.02
stats,821963.32
csc,705524.96
csa,653333.32
dfo,649639.37
atssc,637659.00
nrc,621456.50
feddev,549670.50
ircc,483260.04
pc,462041.87
oci,440455.44
pch,379875.34
elections,279772.50
csps,246224.05
sirc,236531.91
ic,228288.48
mgerc,200032.60
cas,167821.45
ocol,163791.49
agr,161830.82
fin,142294.00
wage,139258.04
cer,74973.00
irb,66788.65
cta,55932.54
fintrac,49720.00
cc,47530.00
iaac,41472.23
fja,25000.00
tsb,24834.60
rcmp,24831.75
mpcc,24577.50
psc,24457.05
cannor,22092.20
ppsc,20948.05
vrab,14599.00
