owner_acronym,total_entries,total_contracts,total_amendments
hc,95,65,30
pspc,86,61,25
phac,82,59,23
tc,65,44,21
esdc,52,49,3
gac,47,34,13
dnd,42,36,6
ec,42,33,9
inac,39,30,9
cbsa,39,29,10
tbs,39,28,11
cfia,37,21,16
ps,31,26,5
dfo,31,21,10
nrcan,29,21,8
ssc,28,21,7
cnsc,27,18,9
cra,26,15,11
nrc,23,15,8
just,21,13,8
isc,21,18,3
pco,16,12,4
infra,14,13,1
vac,14,12,2
agr,13,11,2
csa,13,11,2
cas,13,8,5
csc,12,9,3
ic,10,10,0
ircc,9,7,2
pc,7,6,1
stats,7,7,0
pch,6,5,1
mgerc,6,4,2
irb,6,6,0
csps,6,5,1
wage,5,5,0
oci,5,2,3
atssc,4,4,0
sirc,4,4,0
cta,4,3,1
ocol,3,3,0
fin,3,3,0
feddev,3,2,1
elections,3,3,0
psc,3,3,0
iaac,2,2,0
cer,2,2,0
cc,2,2,0
nserc,1,1,0
cannor,1,1,0
mpcc,1,1,0
tsb,1,1,0
vrab,1,1,0
fintrac,1,1,0
rcmp,1,1,0
fja,1,1,0
