owner_acronym,source_year,total_entries,total_source_scraper,total_source_csv,error_entries,error_source_scraper,error_source_csv,total_non_duplicate_entries,total_duplicate_entries
csc,2008,17,0,17,0,0,0,16,1
csc,2009,85,0,85,0,0,0,85,0
csc,2010,139,0,139,0,0,0,139,0
csc,2011,263,0,263,0,0,0,262,1
csc,2012,391,0,391,0,0,0,389,2
csc,2013,1450,0,1450,0,0,0,1427,23
csc,2014,3297,0,3297,0,0,0,3200,97
csc,2015,3585,0,3585,0,0,0,3447,138
csc,2016,4209,0,4209,0,0,0,4066,143
csc,2017,4642,0,4642,0,0,0,4536,106
csc,2018,4883,0,4883,0,0,0,4753,130
csc,2019,4378,0,4378,0,0,0,4284,94
csc,2020,2896,0,2896,0,0,0,2833,63
csps,2007,880,880,0,880,880,0,880,0
csps,2008,848,848,0,848,848,0,848,0
csps,2009,545,545,0,545,545,0,545,0
csps,2010,462,462,0,462,462,0,462,0
csps,2011,440,440,0,440,440,0,440,0
csps,2012,260,260,0,153,153,0,257,3
csps,2013,189,189,0,0,0,0,162,27
csps,2014,183,183,0,1,1,0,160,23
csps,2015,142,142,0,0,0,0,116,26
csps,2016,113,51,62,0,0,0,105,8
csps,2017,81,0,81,0,0,0,80,1
csps,2018,154,0,154,0,0,0,154,0
csps,2019,123,0,123,0,0,0,123,0
csps,2020,83,0,83,0,0,0,78,5
csps,,1,0,1,1,0,1,1,0
cta,2015,22,0,22,0,0,0,22,0
cta,2016,55,0,55,0,0,0,54,1
cta,2017,82,0,82,0,0,0,80,2
cta,2018,102,0,102,0,0,0,101,1
cta,2019,64,0,64,0,0,0,64,0
cta,2020,38,0,38,0,0,0,36,2
dfo,1942,1,0,1,1,0,1,1,0
dfo,2010,7521,0,7521,235,0,235,7336,185
dfo,2011,7053,0,7053,175,0,175,6850,203
dfo,2012,6666,0,6666,173,0,173,6488,178
dfo,2013,5997,0,5997,120,0,120,5861,136
dfo,2014,6204,0,6204,91,0,91,5987,217
dfo,2015,4841,0,4841,71,0,71,4715,126
dfo,2016,8043,0,8043,96,0,96,7817,226
dfo,2017,7363,0,7363,110,0,110,7199,164
dfo,2018,7111,0,7111,110,0,110,6821,290
dfo,2019,7702,0,7702,175,0,175,7295,407
dfo,2020,5113,0,5113,39,0,39,4839,274
dfo,2021,1,0,1,1,0,1,1,0
dfo,,2382,0,2382,2382,0,2382,2382,0
dnd,1999,2,0,2,0,0,0,2,0
dnd,2002,4,0,4,0,0,0,4,0
dnd,2003,186,0,186,0,0,0,186,0
dnd,2004,17672,8836,8836,0,0,0,8830,8842
dnd,2005,14436,7218,7218,0,0,0,7185,7251
dnd,2006,8928,4464,4464,0,0,0,4431,4497
dnd,2007,17374,8694,8680,0,0,0,8620,8754
dnd,2008,27888,13946,13942,982,491,491,14275,13613
dnd,2009,32928,16464,16464,1386,693,693,16805,16123
dnd,2010,38904,19452,19452,1956,978,978,19572,19332
dnd,2011,42848,21452,21396,2025,1013,1012,26067,16781
dnd,2012,33511,16756,16755,1614,807,807,17272,16239
dnd,2013,30978,15490,15488,1488,745,743,17569,13409
dnd,2014,32204,16102,16102,2040,1020,1020,20409,11795
dnd,2015,33443,16722,16721,1217,609,608,19506,13937
dnd,2016,20614,8771,11843,598,299,299,11986,8628
dnd,2017,14830,0,14830,0,0,0,14551,279
dnd,2018,20698,0,20698,0,0,0,20393,305
dnd,2019,17442,0,17442,0,0,0,16822,620
dnd,2020,9672,0,9672,0,0,0,9403,269
dnd,,80,0,80,80,0,80,80,0
ec,2004,6127,3034,3093,4,2,2,3053,3074
ec,2005,5634,2788,2846,0,0,0,2735,2899
ec,2006,5420,2696,2724,0,0,0,2652,2768
ec,2007,6080,3014,3066,0,0,0,2970,3110
ec,2008,7518,3714,3804,0,0,0,3707,3811
ec,2009,8616,4265,4351,0,0,0,4249,4367
ec,2010,8609,4283,4326,6,3,3,4206,4403
ec,2011,8104,4035,4069,4,2,2,3964,4140
ec,2012,7911,3930,3981,4,2,2,3872,4039
ec,2013,8388,4156,4232,0,0,0,4133,4255
ec,2014,7613,3794,3819,2,1,1,3708,3905
ec,2015,5446,2714,2732,0,0,0,2710,2736
ec,2016,4437,1827,2610,0,0,0,2592,1845
ec,2017,1937,0,1937,0,0,0,1908,29
ec,2018,1279,0,1279,0,0,0,1267,12
ec,2019,2444,0,2444,0,0,0,2412,32
ec,2020,1712,0,1712,0,0,0,1692,20
ec,,1210,0,1210,1210,0,1210,1210,0
elections,2016,132,0,132,0,0,0,131,1
elections,2017,289,0,289,0,0,0,289,0
elections,2018,495,0,495,10,0,10,494,1
elections,2019,439,0,439,3,0,3,437,2
elections,2020,264,0,264,0,0,0,259,5
elections,,2,0,2,2,0,2,2,0
esdc,2003,1,0,1,0,0,0,1,0
esdc,2004,2690,795,1895,9,0,9,1829,861
esdc,2005,3701,1570,2131,0,0,0,2064,1637
esdc,2006,3212,1505,1707,0,0,0,1666,1546
esdc,2007,3639,1795,1844,0,0,0,1721,1918
esdc,2008,2845,1449,1396,0,0,0,1348,1497
esdc,2009,4491,2237,2254,0,0,0,2201,2290
esdc,2010,3896,1948,1948,0,0,0,1894,2002
esdc,2011,3635,1832,1803,0,0,0,1752,1883
esdc,2012,2586,1289,1297,0,0,0,1244,1342
esdc,2013,2393,1208,1185,0,0,0,1136,1257
esdc,2014,2381,1201,1180,0,0,0,1131,1250
esdc,2015,2288,1143,1145,0,0,0,1120,1168
esdc,2016,2202,846,1356,0,0,0,1331,871
esdc,2017,1524,0,1524,0,0,0,1482,42
esdc,2018,1668,0,1668,0,0,0,1650,18
esdc,2019,2105,0,2105,0,0,0,2028,77
esdc,2020,1593,0,1593,0,0,0,1555,38
fcac,2004,33,0,33,0,0,0,32,1
fcac,2005,30,0,30,0,0,0,30,0
fcac,2006,35,0,35,0,0,0,34,1
fcac,2007,48,0,48,0,0,0,48,0
fcac,2008,43,0,43,0,0,0,43,0
fcac,2009,74,0,74,0,0,0,74,0
fcac,2010,89,0,89,0,0,0,88,1
fcac,2011,83,0,83,0,0,0,83,0
fcac,2012,71,0,71,0,0,0,71,0
fcac,2013,43,0,43,0,0,0,43,0
fcac,2014,66,0,66,0,0,0,66,0
fcac,2015,59,0,59,0,0,0,59,0
fcac,2016,55,0,55,0,0,0,55,0
fcac,2017,90,0,90,0,0,0,90,0
fcac,2018,97,0,97,0,0,0,96,1
fcac,2019,102,0,102,0,0,0,98,4
fcac,2020,40,0,40,0,0,0,39,1
feddev,2009,193,95,98,0,0,0,74,119
feddev,2010,356,171,185,0,0,0,261,95
feddev,2011,201,96,105,0,0,0,162,39
feddev,2012,156,68,88,0,0,0,135,21
feddev,2013,83,39,44,0,0,0,72,11
feddev,2014,104,49,55,0,0,0,94,10
feddev,2015,84,41,43,0,0,0,68,16
feddev,2016,69,17,52,0,0,0,51,18
feddev,2017,34,0,34,0,0,0,34,0
feddev,2018,44,0,44,0,0,0,44,0
feddev,2019,58,0,58,0,0,0,57,1
feddev,2020,21,0,21,0,0,0,21,0
