gen_vendor_normalized,total_entries,total_contracts,total_amendments
CANADIAN CORPS OF COMMISSIONAIRES,9839,7945,1894
EXCEL HUMAN RESOURCES,5477,3649,1828
IMPERIAL OIL,5434,5141,293
XEROX,4273,3358,915
STANTEC,4234,3188,1046
MCKESSON CANADA,4044,3980,64
ALTIS HUMAN RESOURCES,3905,2760,1145
NORTHERN MICRO,3709,3537,172
CANADIAN HEALTH CARE AGENCY,3697,1348,2349
CALIAN,3588,2421,1167
NISHA TECHONOLOGIES,3207,3019,188
VERITAAQ TECHNOLOGY HOUSE,3136,1413,1723
RICOH,3003,2143,860
FORD MOTOR COMPANY,2933,2790,143
BELL CANADA,2806,2156,650
IRVING OIL,2737,2681,56
SIMEX DEFENCE,2687,2642,45
IBM CANADA,2596,1807,789
TEKNION,2453,2320,133
CANON,2373,1896,477
SHELL CANADA PRODUCTS,2358,2181,177
SI SYSTEMS,2095,1021,1074
SOFTCHOICE,2034,1892,142
TELUS CANADA,2012,1716,296
WSP,1957,1344,613
BLUEWAVE ENERGY,1903,1819,84
SNC LAVALIN,1891,1439,452
RANDSTAD,1833,964,869
FISHER SCIENTIFIC,1784,1736,48
MAPLESOFT CONSULTING,1759,1018,741
MINDWIRE SYSTEMS,1757,826,931
GENERAL MOTORS,1619,1560,59
ITEX,1587,1483,104
PRICEWATERHOUSE COOPERS,1566,1016,550
AGILENT,1539,1482,57
CDW CANADA,1535,1429,106
DELL COMPUTER,1523,1455,68
TERAMACH TECHNOLOGIES,1516,1328,188
MODIS CANADA,1515,782,733
SHARP ELECTRONICS,1512,1174,338
MOTOROLA SOLUTIONS CANADA,1431,1372,59
MICROSOFT CANADA,1385,1184,201
GARTNER,1354,1282,72
COSSETTE COMMUNICATIONS,1315,1178,137
UNISOURCE,1291,1273,18
GLOBAL UPHOLSTERY,1268,1229,39
ONTARIO DENTAL ASSOCIATION,1246,371,875
WORLD FUEL SERVICES,1217,1183,34
DELOITTE AND TOUCHE,1207,946,261
VWR INTERNATIONAL,1197,1164,33
PRINTERS PLUS,1165,1112,53
THE AIM GROUP,1147,726,421
QMR,1105,829,276
CGI,1088,580,508
ORACLE CANADA,1087,951,136
ESRI,1082,1022,60
MACDONALD DETTWILER AND ASSOCIATES,1075,915,160
GOLDER ASSOCIATES,1065,822,243
CANADA POST,1059,999,60
HOSKIN SCIENTIFIC,1053,1009,44
JHT DEFENSE,1039,1026,13
QUANTUM MANAGEMENT SERVICES,1030,792,238
ADVANCED BUSINESS INTERIORS,1026,1012,14
DONNA CONA,1019,655,364
WARTSILA,1019,818,201
GENESIS INTEGRATION,1014,959,55
CBCI TELECOM,1007,932,75
HEWLETT PACKARD,1006,819,187
ADVANCED CHIPPEWA TECHNOLOGIES,980,824,156
TELECOM COMPUTER SERVICES,969,924,45
CORADIX TECHNOLOGY CONSULTING,951,596,355
PROMAXIS,923,564,359
LIFE TECHNOLOGIES,920,832,88
CHEVRON,913,891,22
CHRYSLER CANADA,910,880,30
HONEYWELL,907,796,111
GENERAL DYNAMICS,904,756,148
DADS,891,820,71
TPG TECHNOLOGY CONSULTANTS,878,436,442
COFOMO,877,476,401
ADGA GROUP,867,414,453
AECOM,857,543,314
VALCOM CONSULTING,839,500,339
COMPUGEN,836,803,33
ACKLANDS GRAINGER,831,815,16
SIEMENS,829,689,140
