owner_acronym,sum_effective_value
esdc,51219934.67
rcmp,13632134.01
tc,13380052.99
cra,10088137.02
ssc,9354558.80
dnd,9002816.24
ic,8070729.48
agr,8064321.67
ircc,7659769.87
phac,7416216.51
hc,6736260.44
ec,4639594.54
pco,4490259.24
csc,4126004.08
pspc,4070721.95
pc,3365734.48
stats,3224636.41
pptc,2997017.04
pch,2850231.08
dfo,2762196.62
just,1946027.33
ppsc,1900615.29
inac,1695044.92
cfia,1685069.17
nrc,1668801.29
ps,875003.84
iaac,829248.73
cer,664661.99
cbsa,552704.58
psc,524787.00
csps,458860.96
fin,426773.06
pbc,414659.13
nrcan,331376.82
ced,321849.75
gac,314051.93
atssc,308945.34
fintrac,287721.97
cnsc,232071.38
tbs,185595.24
cgc,140972.14
fcac,134968.50
vac,134246.05
infra,85701.52
cannor,78138.44
isc,60892.42
wd,49373.73
chrc,41009.06
swc,37684.11
acoa,31135.35
wage,30759.65
feddev,25302.76
irb,19865.91
cics,19798.69
mpcc,19632.02
lac,17337.18
nfb,8048.25
