owner_acronym,total_entries,total_contracts,total_amendments
dnd,520,459,61
hc,371,310,61
rcmp,366,314,52
csc,288,266,22
pspc,279,166,113
phac,272,233,39
cra,258,87,171
tc,243,209,34
ec,212,128,84
pc,206,181,25
dfo,182,112,70
ircc,132,109,23
nrc,102,79,23
pch,89,86,3
just,74,59,15
esdc,73,73,0
cbsa,46,40,6
cfia,44,33,11
stats,43,42,1
pptc,39,35,4
ppsc,38,27,11
inac,34,30,4
ssc,33,18,15
iaac,29,21,8
ced,26,15,11
nrcan,23,22,1
pbc,22,22,0
pco,21,11,10
vac,20,13,7
csps,18,15,3
ps,18,18,0
ic,15,12,3
fin,15,9,6
fintrac,15,15,0
cgc,12,12,0
agr,11,8,3
gac,10,10,0
infra,8,5,3
tbs,8,6,2
cer,7,6,1
cnsc,6,5,1
isc,6,6,0
atssc,5,2,3
irb,5,5,0
cannor,5,5,0
feddev,4,2,2
wd,3,2,1
lac,3,1,2
psc,3,3,0
fcac,3,3,0
cics,3,3,0
swc,2,2,0
nfb,1,1,0
acoa,1,1,0
mpcc,1,1,0
