owner_acronym,source_year,total_entries,total_contracts,total_amendments
acoa,2018,1,1,0
agr,2013,2,2,0
agr,2014,3,2,1
agr,2015,3,3,0
agr,2016,2,1,1
agr,2017,1,0,1
atssc,2016,1,1,0
atssc,2017,2,1,1
atssc,2018,1,0,1
atssc,2019,1,0,1
cannor,2016,2,2,0
cannor,2017,2,2,0
cannor,2018,1,1,0
cbsa,2014,5,5,0
cbsa,2015,9,9,0
cbsa,2016,5,5,0
cbsa,2017,8,8,0
cbsa,2018,10,7,3
cbsa,2019,9,6,3
ced,2010,2,1,1
ced,2011,1,1,0
ced,2013,6,5,1
ced,2014,7,4,3
ced,2015,6,3,3
ced,2016,3,0,3
ced,2019,1,1,0
cer,2015,1,1,0
cer,2016,2,2,0
cer,2017,2,1,1
cer,2018,1,1,0
cer,2019,1,1,0
cfia,2011,4,4,0
cfia,2012,7,7,0
cfia,2013,10,9,1
cfia,2014,5,3,2
cfia,2015,8,4,4
cfia,2016,5,4,1
cfia,2017,2,1,1
cfia,2018,2,0,2
cfia,2019,1,1,0
cgc,2017,6,6,0
cgc,2018,4,4,0
cgc,2019,2,2,0
cics,2018,2,2,0
cics,2019,1,1,0
cnsc,2010,1,1,0
cnsc,2011,3,3,0
cnsc,2012,2,1,1
cra,2010,95,21,74
cra,2011,100,22,78
cra,2012,22,14,8
cra,2013,3,3,0
cra,2014,6,5,1
cra,2015,2,2,0
cra,2017,5,5,0
cra,2018,11,10,1
cra,2019,14,5,9
csc,2010,1,1,0
csc,2011,1,1,0
csc,2012,5,5,0
csc,2013,20,19,1
csc,2014,31,31,0
csc,2015,34,30,4
csc,2016,24,22,2
csc,2017,49,42,7
csc,2018,71,66,5
csc,2019,52,49,3
csps,2012,2,2,0
csps,2013,6,5,1
csps,2014,6,6,0
csps,2015,2,2,0
csps,2017,1,0,1
csps,2019,1,0,1
dfo,2010,36,26,10
dfo,2011,36,20,16
dfo,2012,25,13,12
dfo,2013,18,9,9
dfo,2014,17,11,6
dfo,2015,11,5,6
dfo,2016,8,6,2
dfo,2017,6,4,2
dfo,2018,13,9,4
dfo,2019,12,9,3
dnd,2010,60,46,14
dnd,2011,51,42,9
dnd,2012,62,58,4
dnd,2013,88,84,4
dnd,2014,63,56,7
dnd,2015,39,36,3
dnd,2016,12,11,1
dnd,2017,39,32,7
dnd,2018,48,40,8
