owner_acronym,total_entries,total_contracts,total_amendments
ssc,211,186,25
gac,130,110,20
dnd,45,42,3
ircc,11,11,0
pptc,8,8,0
pc,7,7,0
pspc,6,6,0
nrcan,6,6,0
dfo,6,6,0
tc,6,6,0
hc,5,5,0
nrc,5,5,0
phac,4,4,0
inac,4,3,1
ic,3,3,0
rcmp,3,3,0
cnsc,3,3,0
cbsa,3,2,1
lac,2,2,0
isc,2,2,0
vac,1,1,0
ccohs,1,1,0
cgc,1,1,0
cra,1,1,0
crtc,1,1,0
csc,1,1,0
ec,1,1,0
fin,1,1,0
iaac,1,1,0
nfb,1,1,0
oci,1,1,0
osgg,1,1,0
pch,1,1,0
psc,1,1,0
tbs,1,1,0
cannor,1,1,0
