owner_acronym,sum_effective_value
ssc,56095035.04
gac,34593601.34
tc,5497542.46
dnd,3996005.65
rcmp,1166739.30
ircc,905225.59
dfo,824206.79
nrc,794935.69
nrcan,714341.87
ic,533596.14
pptc,361843.25
lac,338651.98
hc,203560.35
pc,180064.47
pspc,134124.03
cnsc,110973.63
csc,108877.20
osgg,95640.31
phac,85687.98
isc,81943.29
cgc,67847.92
ccohs,49292.41
inac,40595.24
crtc,40426.76
nfb,34363.74
tbs,33900.00
vac,28250.00
oci,25802.69
ec,24500.00
fin,23984.25
psc,19765.00
pch,18416.24
cra,14163.93
iaac,12250.00
