source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2011,488,244,244,4214978.88,36094033.07
2012,831,437,394,7398004.00,47802922.00
2013,852,400,452,7018180.56,91856909.80
2014,600,286,314,4820261.93,47108631.75
2015,530,263,267,4420687.49,47610077.39
2016,827,440,387,7722117.73,71841630.92
2017,448,221,227,3828032.23,46379378.13
2018,460,214,246,3794690.12,46979215.63
2019,369,162,207,2791920.56,27927501.98
