gen_vendor_normalized,total_entries,total_contracts,total_amendments
XEROX,89,86,3
COFOMO,86,50,36
EXCEL HUMAN RESOURCES,79,42,37
SAMSON ASSOCIATES,58,52,6
MAPLESOFT CONSULTING,54,25,29
NORTHERN MICRO,53,52,1
IBISKA TELECOM,47,31,16
RAYMOND CHABOT GRANT THORNTON,37,35,2
ALTIS HUMAN RESOURCES,34,26,8
DELOITTE AND TOUCHE,33,26,7
CANADIAN CORPS OF COMMISSIONAIRES,32,29,3
1302015 ONTARIO,28,20,8
BDO CANADA,27,13,14
SOFTCHOICE,27,23,4
BELL CANADA,27,17,10
NISHA TECHONOLOGIES,26,26,0
FOXRED CONSULTING,26,14,12
GENESIS INTEGRATION,25,25,0
PROJECT X PRODUCTIONS,25,21,4
OPTIMA COMMUNICATION,25,22,3
COSSETTE COMMUNICATIONS,25,20,5
ASOKAN BUSINESS INTERIORS ASOKAN SOLUTIONS DE BUREAU,23,23,0
WALL SOUND AND LIGHTING,23,23,0
ORBIS CONSULTING,23,22,1
SOLOTECH,23,23,0
EBSCO CANADA,21,18,3
CALIAN,20,17,3
ST JOSEPH PRINT GROUP,20,13,7
ERNST YOUNG,19,19,0
KELLY SEARS CONSULTING GROUP,18,15,3
COTTON CANDY MISSISSAUGA,18,18,0
IMPACT AUDIO VISUEL,18,18,0
LAFLEUR DE LA CAPITALE,17,8,9
ITEX,17,16,1
SIGN SOURCE,16,16,0
MARCIL LAVALLAE,16,16,0
BGIS,16,16,0
GOSS GILROY,16,14,2
CLOSEREACH,15,12,3
IRON HORSE SECURITY,15,15,0
LOWE MARTIN COMPANY,15,10,5
EMTEC INFRASTRUCTURE SERVICES,15,12,3
CENTRE DE LANGUES INTERNATIONALES CHARPENTIER,15,10,5
MISHKUMI TECHNOLOGIES,15,15,0
COPEM CONSULTING,14,10,4
SIMPLEX GRINNELL,13,12,1
ESRI,13,13,0
1329481 ONTARIO,13,12,1
AON REED STENHOUSE,13,12,1
ROGERS,12,12,0
ENTREPRISE DE COMMUNICATIONS TANK,12,5,7
NIELSEN MEDIA RESEARCH,12,8,4
PROCOM CONSULTANTS,12,4,8
COMPOSITION SAINTE FOY,12,8,4
ECONOME,12,11,1
CBCI TELECOM,12,12,0
BEACON LITE OTTAWA,11,9,2
SAP,11,4,7
LABELLE TENTS,11,11,0
ADVANCED BUSINESS INTERIORS,11,11,0
OPENTEXT,11,9,2
TRADUCTIONS HOULE,11,8,3
INFOR GLOBAL SOLUTIONS,11,1,10
119155 CANADA,11,11,0
BPM GOVERNMENT IM IT,11,8,3
MAXSYS STAFFING AND CONSULTING,11,11,0
ADVANCED CHIPPEWA TECHNOLOGIES,10,10,0
PRA,10,8,2
AKRAN MARKETING,10,8,2
RENTRAK,10,7,3
COMMUNICATION IN EXTENSO,10,8,2
CAPITAL TRAITEUR GATINEAU,10,10,0
BUDGETCARINC,10,10,0
POSTMEDIA NETWORK,10,10,0
ID3 IDEES AU CUBE,10,5,5
COMSCORE CANADA,10,5,5
STATEL CAPITAL TECHNOLOGY PARTNERS,10,0,10
DALIAN ENTERPRISES,10,9,1
HAWORTH,10,10,0
MEDIA Q,10,8,2
WORK DYNAMICS TECHNOLOGIES,9,9,0
DENSAN CONSULTANTS,9,6,3
R E GILMORE INVESTMENTS,9,9,0
4165047 CANADA,9,2,7
GROUPE CONSEIL BAASTEL LE,9,8,1
LIONBRIDGE,9,7,2
2339416 ONTARIO,8,8,0
ENTREPRISE MADALI ENTERPRISE,8,8,0
EKOS RESEARCH ASSOCIATES,8,8,0
DYMECH ENGINEERING,8,5,3
QUORUS CONSULTING GROUP,8,8,0
KPMG,8,2,6
NORDICITY GROUP,8,7,1
CACHE COMPUTER CONSULTING,8,5,3
HILL STRATEGIES RESEARCH,8,5,3
SYSTEMATIX SOLUTIONS,8,7,1
THE AIM GROUP,8,7,1
MICROSOFT CANADA,8,5,3
GRENFELL CATERING DELIGHTS,8,8,0
CEDROM SNI,8,8,0
GARTNER,8,8,0
LES TRADUCTIONS ATOUT,8,6,2
WILLIAMS SCOTSMAN CANADA,7,7,0
CANON,7,5,2
LANGUAGE RESEARCH DEVELOPMENT,7,3,4
EDINOVA,7,1,6
INTERACTIVE AUDIO VISUAL,7,6,1
IFATHOM,7,7,0
INDUSTRIAL MEDIA,7,2,5
TRICO GROUP,7,6,1
TNS CANADIAN FACTS,7,7,0
MEDIASTATS,7,2,5
SUPER SAVE FENCE RENTALS,7,7,0
SYSTEMSCOPE,7,5,2
CHRISTIE DIGITAL SYSTEMS CANADA,7,6,1
FREEMAN AUDIO VISUAL CANADA,7,7,0
LES TRAITEURS BYTOWN CATERING,7,6,1
SUNCOR ENERGY,7,6,1
FLAGTECH ARTISANS DU TEXTILES,6,3,3
ROYAL PYROTECHNIE,6,5,1
BRUKER AXS,6,6,0
EVENT DESIGN GROUP,6,6,0
EQUINOX LANGUAGE CENTRE,6,5,1
RA MALATEST ASSOCIATES,6,6,0
ARTEMP PERSONNEL SERVICES,6,4,2
QMR,6,5,1
DYNAMIC PERSONNEL,6,3,3
LA PRESSE CANADIENNE,6,2,4
PLEIAD CANADA,6,6,0
OTTAWA TOURISM AND CONVENTION,6,6,0
1784909 ONTARIO,6,6,0
TOBERMORY PRESS,6,6,0
3834310 CANADA DIV LEDROIT,6,6,0
ID3 IDACES AU CUBE,6,2,4
CNW GROUP,6,6,0
TERAMACH TECHNOLOGIES,6,6,0
360 ADVANCED SECURITY,6,6,0
BROADWAY EXPORTERS IMPORTERS,6,2,4
TEKNION,6,6,0
MATRAGS,6,4,2
CHEZ LILI,6,6,0
CENTRE DE LANGUES INTERNATIONALES,6,6,0
GROUPE TVA,6,6,0
THE CONFERENCE BOARD OF CANADA,6,6,0
SOCIETE DE TRANSPORT DE LOUTAOUAIS,6,6,0
PROQUEST,6,6,0
IBM CANADA,6,4,2
ARNPRIOR HOME HARDWARE,6,6,0
LAURIE ARTISS,5,5,0
FERENCE WEICKER COMPANY,5,4,1
FAVEQUEST,5,4,1
ACOLE CREUSOT,5,5,0
EVENT WATER SOLUTIONS,5,2,3
LA GLACE FRONTENAC RIVE SUD,5,5,0
ASOKAN BUSINESS INTERIORS,5,5,0
ACCESSIBIL IT,5,5,0
FLYING COLOURS INTERNATIONAL,5,5,0
KNOWLEDGE CIRCLE LEARNING SERVICES,5,5,0
PURELOGIC,5,5,0
KONICA MINOLTA,5,3,2
ARI FINANCIAL SERVICES T46163,5,5,0
PIRANHA COMMUNICATIONS,5,4,1
WORKDYNAMICS TECHNOLOGIES,5,4,1
CANADIAN OLYMPIC COMMITTEE,5,5,0
INTEGRA NETWORK,5,5,0
ORACLE CANADA,5,4,1
WESTBURY NATIONAL SHOW SYSTEMS,5,5,0
ANITA LPORTIER,5,4,1
CREOS EXPERTS CONSEILS,5,5,0
THE HERJAVEC GROUP,5,5,0
THE MOJO BARRIERS,5,4,1
CSDC SYSTEMS,5,3,2
HTS ENGINEERING,5,3,2
TELUS CANADA,5,5,0
MARCIL LAVALLEE,5,5,0
CITY OF OTTAWA OC TRANSPO,5,5,0
LSM SON LUMIERES,5,4,1
CCH CANADIAN,5,4,1
FIESTA TENTS,4,4,0
8709530 CANADA,4,4,0
LEAN AGILITY,4,3,1
SERRURE OUTAOUAIS,4,4,0
EXPOGRAPHIQ,4,4,0
SAMSON ASSOCIES,4,4,0
SEMANTIC WEB COMPANY,4,2,2
SI SYSTEMS,4,1,3
ATCO,4,4,0
RAVEN IT SECURITY,4,4,0
EMARKETER,4,4,0
ECOLE DE LANGUES LA CITA,4,4,0
ENDLESS GROWTH LANGUAGE SERVICES,4,2,2
ENSEIGNES PATTISON SIGN GROUP,4,4,0
CARBON COMPUTING,4,4,0
SITE SECURE SOFTWARE,4,1,3
ARI FINANCIAL SERVICES,4,4,0
PR3 MEDIAS,4,2,2
PIXO DESIGN,4,4,0
CANADIAN PARALYMPIC COMMITTEE,4,4,0
ISFIELD TRADING,4,4,0
DARE HUMAN RESOURCES,4,4,0
