owner_acronym,sum_effective_value
dnd,27839625.50
esdc,12849728.37
ic,11812131.50
pspc,11248172.26
nrcan,9299559.14
ssc,7917597.99
tbs,6261960.23
tc,3131405.13
ps,2661795.21
phac,1932751.06
gac,1799687.59
nrc,1741585.23
rcmp,1588270.00
cfia,1477118.94
inac,1382400.92
infra,1052846.99
oag,674663.19
hc,643300.73
vac,635369.50
fin,546727.50
ircc,519908.68
pco,476295.00
pc,469529.16
csa,459790.20
dfo,365315.00
stats,361419.20
fintrac,335271.90
ced,322567.50
iaac,319787.74
ec,314906.00
cc,256845.50
pch,176642.82
cer,171465.00
acoa,130648.88
isc,128170.00
csps,127125.00
ccohs,118452.90
osfi,112658.79
just,99370.80
pptc,93217.92
agr,87500.50
nserc,82950.47
lac,73044.75
psc,71978.90
psic,36725.00
atssc,33052.50
fcac,25000.00
cnsc,24939.10
