owner_acronym,total_entries,total_contracts,total_amendments
ic,79,64,15
pspc,63,48,15
gac,31,25,6
inac,29,21,8
nrcan,29,24,5
esdc,28,21,7
nrc,22,14,8
tc,22,19,3
oag,19,17,2
dnd,16,13,3
phac,16,14,2
dfo,15,12,3
tbs,15,9,6
csa,14,12,2
cfia,14,11,3
ssc,11,9,2
ps,11,11,0
ec,11,9,2
fintrac,11,11,0
hc,11,11,0
ircc,9,7,2
rcmp,8,6,2
pch,8,2,6
ced,7,6,1
vac,6,2,4
infra,5,5,0
agr,5,5,0
pco,4,3,1
fin,4,4,0
osfi,4,4,0
ccohs,3,2,1
iaac,3,3,0
psc,3,3,0
pptc,3,2,1
nserc,3,1,2
cc,3,3,0
lac,2,2,0
csps,2,1,1
acoa,2,2,0
isc,2,2,0
cbsa,2,2,0
stats,2,2,0
just,2,2,0
cra,1,1,0
pc,1,1,0
atssc,1,1,0
fcac,1,1,0
cer,1,1,0
cnsc,1,1,0
psic,1,1,0
