owner_acronym,sum_effective_value
ssc,42122527.65
dnd,26920512.85
cra,21150503.85
rcmp,9014494.71
esdc,4258269.39
pco,3297467.65
phac,3048068.38
ec,2833536.15
ps,1623118.31
csa,1604492.53
pspc,1564255.11
nrc,1433739.58
cfia,1359902.34
hc,1263689.96
vac,1084345.53
dfo,1031258.51
ic,965803.23
cnsc,950171.37
cgc,908282.69
tc,791326.47
tbs,559716.45
cihr,552262.28
just,500533.19
tsb,486037.34
oag,451860.42
osfi,447994.45
pch,309664.03
pc,268878.53
gac,248229.65
nrcan,220797.80
inac,218110.92
agr,214617.10
ircc,206691.46
cer,204862.05
csc,161801.39
cbsa,144478.27
lac,130224.87
stats,127304.11
crtc,121988.48
fintrac,119691.23
cta,79433.55
nfb,72940.63
fin,72750.19
vrab,60233.00
fcac,50850.00
csps,46923.48
nserc,41374.50
fja,41053.39
psc,24659.35
cas,22424.85
iaac,19817.10
atssc,19702.49
pptc,17595.43
feddev,17021.00
ocl,12000.00
sirc,11529.00
