owner_acronym,total_entries,total_contracts,total_amendments
dnd,286,280,6
rcmp,250,248,2
ssc,225,186,39
cra,181,176,5
ec,76,76,0
pspc,48,47,1
ic,38,36,2
pco,35,35,0
nrc,35,33,2
tc,32,32,0
dfo,27,25,2
hc,20,20,0
phac,20,20,0
ps,18,18,0
nrcan,18,18,0
esdc,16,15,1
csa,15,15,0
vac,12,11,1
cihr,12,11,1
cgc,12,12,0
just,12,12,0
tsb,12,12,0
agr,10,10,0
gac,9,9,0
pc,7,7,0
ircc,7,7,0
cbsa,7,6,1
inac,6,6,0
cer,6,6,0
oag,5,5,0
cnsc,5,5,0
osfi,5,4,1
csc,5,3,2
tbs,5,5,0
lac,5,5,0
cfia,5,5,0
feddev,4,2,2
stats,3,3,0
nfb,3,3,0
fintrac,3,3,0
pch,3,3,0
cas,2,2,0
fja,2,2,0
pptc,2,2,0
cta,2,2,0
vrab,1,1,0
atssc,1,1,0
crtc,1,1,0
csps,1,1,0
fcac,1,1,0
fin,1,1,0
nserc,1,1,0
ocl,1,1,0
opc,1,1,0
psc,1,1,0
sirc,1,1,0
acoa,1,1,0
