vendor_normalized,effective_year,sum_yearly_value
COFOMO,2019,532292.72
DELOITTE AND TOUCHE,2016,163397.18
DELOITTE AND TOUCHE,2017,399102.03
DELOITTE AND TOUCHE,2018,484181.24
DELOITTE AND TOUCHE,2019,647272.01
ERNST YOUNG,2016,51148.32
ERNST YOUNG,2017,135706.97
ERNST YOUNG,2018,339609.36
ERNST YOUNG,2019,304092.05
ITEX,2017,5649.44
ITEX,2018,260320.06
ITEX,2019,274697.05
KPMG,2013,18061.24
KPMG,2014,18061.24
KPMG,2015,18061.24
KPMG,2016,74504.74
KPMG,2017,210735.27
KPMG,2018,198265.66
KPMG,2019,139027.46
MICROSOFT CANADA,2014,241332.79
MICROSOFT CANADA,2015,241332.79
MICROSOFT CANADA,2016,241332.79
MICROSOFT CANADA,2017,1186598.63
MICROSOFT CANADA,2018,59890.00
MICROSOFT CANADA,2019,31075.00
NISHA TECHONOLOGIES,2017,139730.15
NISHA TECHONOLOGIES,2018,384269.60
NISHA TECHONOLOGIES,2019,563404.90
PRICEWATERHOUSE COOPERS,2016,55071.16
PRICEWATERHOUSE COOPERS,2017,221122.98
PRICEWATERHOUSE COOPERS,2018,358403.01
PRICEWATERHOUSE COOPERS,2019,199662.95
RICOH,2014,141645.53
RICOH,2015,141645.53
RICOH,2016,141645.53
RICOH,2017,141645.53
RICOH,2018,141645.53
RICOH,2019,161551.44
SAMSON ASSOCIES CPA CONSULTATION,2016,86682.73
SAMSON ASSOCIES CPA CONSULTATION,2017,367297.98
SAMSON ASSOCIES CPA CONSULTATION,2018,269185.26
SAMSON ASSOCIES CPA CONSULTATION,2019,378776.20
