gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADVIVUM,2017,3,2,1
ADVIVUM,2018,3,3,0
ADVIVUM,2019,4,1,3
CARON TRAINING CENTRE,2017,2,1,1
CARON TRAINING CENTRE,2018,4,4,0
CARON TRAINING CENTRE,2019,4,4,0
DELOITTE AND TOUCHE,2016,2,1,1
DELOITTE AND TOUCHE,2017,16,15,1
DELOITTE AND TOUCHE,2018,11,11,0
DELOITTE AND TOUCHE,2019,17,17,0
ERNST YOUNG,2017,12,11,1
ERNST YOUNG,2018,5,3,2
ERNST YOUNG,2019,8,6,2
ITEX,2016,1,1,0
ITEX,2017,2,2,0
ITEX,2018,3,3,0
ITEX,2019,3,3,0
KPMG,2017,8,7,1
KPMG,2018,5,5,0
KPMG,2019,6,5,1
MINITEL COMMUNICATIONS,2017,3,3,0
MINITEL COMMUNICATIONS,2018,4,4,0
MINITEL COMMUNICATIONS,2019,3,3,0
NISHA TECHONOLOGIES,2017,2,2,0
NISHA TECHONOLOGIES,2018,5,5,0
NISHA TECHONOLOGIES,2019,3,3,0
PRICEWATERHOUSE COOPERS,2016,5,5,0
PRICEWATERHOUSE COOPERS,2017,9,8,1
PRICEWATERHOUSE COOPERS,2018,7,6,1
PRICEWATERHOUSE COOPERS,2019,9,8,1
SAMSON ASSOCIES CPA CONSULTATION,2016,5,4,1
SAMSON ASSOCIES CPA CONSULTATION,2017,9,8,1
SAMSON ASSOCIES CPA CONSULTATION,2018,9,9,0
SAMSON ASSOCIES CPA CONSULTATION,2019,9,8,1
