owner_acronym,effective_year,sum_yearly_value
csc,2016,135277.00
csc,2018,39893.52
dnd,2010,5126461.97
dnd,2011,21575167.30
dnd,2012,26637594.87
dnd,2013,22140023.45
dnd,2014,13308328.29
dnd,2015,23462706.81
dnd,2016,9683519.35
dnd,2017,40492504.85
dnd,2018,38360121.68
dnd,2019,29698434.29
pspc,2015,1184275.75
pspc,2016,1184275.75
rcmp,2010,21779.32
rcmp,2011,57042.30
rcmp,2012,1262045.77
rcmp,2013,6895138.61
rcmp,2014,3381971.16
rcmp,2015,4244029.58
rcmp,2016,1095372.28
rcmp,2017,2380954.07
rcmp,2018,376467.98
rcmp,2019,2339150.55
