source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,2528,1761,767,29201172.00,129835413.00
2011,2223,1570,653,26128792.00,220216418.00
2012,1843,1291,552,21478788.00,64901228.00
2013,2143,1478,665,24758757.00,103580277.00
2014,2045,1411,634,23563540.00,274708540.00
2015,2362,1601,761,26682301.00,114405823.00
2016,2464,1593,871,26508426.37,127878876.47
2017,2559,1714,845,28046396.14,164938626.79
2018,2531,1689,842,27844066.64,110462064.13
2019,2668,1671,997,27676260.66,118716030.13
