owner_acronym,source_year,total_entries,total_contracts,total_amendments
cbsa,2015,1,1,0
cgc,2019,2,2,0
cnsc,2011,1,1,0
cpc,2017,1,1,0
cpc,2018,2,2,0
cpc,2019,3,3,0
cta,2019,1,1,0
dfo,2017,1,1,0
dnd,2011,8,8,0
dnd,2012,2,2,0
dnd,2013,17,17,0
dnd,2014,24,24,0
dnd,2015,14,14,0
dnd,2016,3,3,0
dnd,2017,39,38,1
dnd,2018,50,49,1
dnd,2019,27,27,0
ec,2011,1,1,0
ec,2012,7,4,3
ec,2013,10,3,7
ec,2014,4,4,0
esdc,2012,1,1,0
esdc,2013,10,10,0
esdc,2014,8,8,0
esdc,2015,1,1,0
esdc,2019,1,1,0
gac,2012,2,2,0
gac,2018,1,1,0
hc,2011,1,1,0
hc,2012,1,0,1
hc,2013,5,2,3
hc,2014,1,1,0
hc,2015,1,0,1
ic,2016,1,1,0
ijc,2019,1,1,0
irb,2019,1,1,0
ircc,2010,2,2,0
ircc,2011,1,1,0
nrc,2019,1,1,0
nrcan,2018,1,1,0
pch,2011,3,3,0
pco,2018,1,1,0
phac,2011,1,1,0
phac,2012,1,0,1
phac,2013,5,2,3
phac,2014,1,1,0
phac,2015,1,0,1
phac,2018,1,1,0
rcmp,2013,1,1,0
rcmp,2016,1,1,0
rcmp,2017,5,5,0
rcmp,2018,5,5,0
rcmp,2019,1,1,0
ssc,2012,28,15,13
ssc,2013,12,12,0
ssc,2014,19,19,0
ssc,2015,3,3,0
ssc,2016,40,39,1
ssc,2017,53,50,3
ssc,2018,32,32,0
ssc,2019,31,30,1
tc,2014,1,1,0
