source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,3072,1808,301,963,28448739.79,7446191.15,192221432.38
2011,2766,1580,311,875,25408266.21,7698911.18,148258411.01
2012,2403,1322,210,871,20481445.04,5200269.57,216414992.91
2013,2557,1347,235,975,20711678.74,5822105.33,308007384.38
2014,2784,1555,223,1006,23636650.31,5537816.68,197363323.25
2015,2683,1493,237,953,23651770.91,5872339.21,221446693.90
2016,2638,1538,240,860,24357048.87,5943004.04,168393359.10
2017,3599,2077,397,1125,33177088.71,9835250.83,354620735.61
2018,3781,2164,332,1285,34270587.97,8226006.09,252362679.00
2019,3670,1939,305,1426,31060784.07,7563068.45,271935247.97
