source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,3072,2082,990,35209742.82,192906620.50
2011,2766,1852,914,32118013.51,149247574.89
2012,2403,1507,896,25047140.00,217049567.52
2013,2557,1546,1011,25620400.29,308920768.16
2014,2784,1738,1046,28158424.21,198379366.03
2015,2683,1690,993,28506051.73,222464752.29
2016,2638,1743,895,29412896.67,169280515.34
2017,3599,2414,1185,41490017.56,356143057.59
2018,3781,2430,1351,40826059.21,254033213.85
2019,3670,2179,1491,36974148.15,273584952.34
