source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,3145,1780,1365,30251334.66,301173011.62
2011,3010,1635,1375,27238128.68,303159025.47
2012,2645,1338,1307,22752542.14,364350028.32
2013,2766,1429,1337,23883713.60,315265284.40
2014,2697,1386,1311,23116862.25,349111249.43
2015,2971,1450,1521,24388604.60,368238188.26
2016,3078,1560,1518,25836926.68,424266180.43
2017,3264,1503,1761,25081163.23,550719206.50
2018,3159,1473,1686,24931752.11,542785952.83
2019,2911,1344,1567,22571488.85,480814224.61
