gen_vendor_normalized,total_entries,total_contracts,total_amendments
TELECOM COMPUTER SERVICES,18,18,0
COSSETTE COMMUNICATIONS,16,13,3
MICROSOFT CANADA,13,11,2
WILLS TRANSFER,11,8,3
RJF COMMUNICATIONS,10,9,1
ASOKAN SOLUTIONS DE BUREAU,10,10,0
DELOITTE AND TOUCHE,10,10,0
HYPERACTIVE PRODUCTIONS,8,8,0
IPSOS REID,8,8,0
NEWS CANADA,8,7,1
ALINE BARNOTI,7,7,0
CISION,7,5,2
RAYMOND CHABOT GRANT THORNTON,7,5,2
CGI,7,5,2
ST JOSEPH COMMUNICATIONS,7,7,0
ENVIRONICS ANALYTICS,7,7,0
ERNST YOUNG,7,7,0
DELTA PRINTING,7,7,0
HAY GROUP,7,5,2
NORTHERN MICRO,7,7,0
ECHELON COMMUNICATIONS,6,5,1
ROBERTSON COMPANY,6,5,1
ENTRUST,6,2,4
THE AIM GROUP,6,5,1
HEWLETT PACKARD,6,6,0
JEFF BALCH,6,4,2
DOLLCO PRINTING,6,6,0
EXCEL HUMAN RESOURCES,6,3,3
WILLIAM HART,6,6,0
ROBERT HALF CANADA,5,3,2
ADVANCED CHIPPEWA TECHNOLOGIES,5,5,0
ABI ADVANCED BUSINESS INTERIORS,5,5,0
ANET SOLUTIONS,5,4,1
GARTNER,5,5,0
METAFORE CANADA,5,5,0
KABOOM COMMUNICATIONS DESIGN,5,3,2
A NET SOLUTIONS,5,4,1
PORTAGE PERSONNEL,5,4,1
MISHKUMI TECHNOLOGIES,5,5,0
HAWORTH,5,5,0
DONNA CONA,4,1,3
ENVIRONICS RESEARCH GROUP,4,2,2
IRON MOUNTAIN CANADA,4,4,0
INSIGHT SOFTWARE CANADA,4,4,0
INROUND INNOVATIONS,4,1,3
SOFTCHOICE,4,4,0
INFUSION COMMUNICATIONS AND DESIGN,4,3,1
ROGERS,4,4,0
ADVANCED PRESENTATION PRODUCTS,4,4,0
PURESPIRIT SOLUTIONS,4,4,0
PRINTERS PLUS,4,4,0
CHRISTOPHER GILMOUR,4,4,0
CNW GROUP,4,4,0
ALTIS HUMAN RESOURCES,4,3,1
NEWS CANADA INCFIFTH STORY,4,3,1
CORADIX TECHNOLOGY CONSULTING,4,3,1
NEWCOMP ANALYTICS,4,4,0
DEBRA BROWN EXECUTIVE CONSULTING,4,4,0
MARGO CONNORS,4,3,1
CIA,3,2,1
CAKEBREAD,3,3,0
RFP SOLUTIONS,3,2,1
BRYMARK,3,3,0
STONEWORKS TECHNOLOGIES,3,3,0
KORN FERRY CA,3,3,0
ECOLE DE LANGUES ABCE,3,2,1
ACNIELSEN COMPANY OF CANADA,3,2,1
TRM TECHNOLOGIES,3,2,1
HILL KNOWLTON STRATEGIES,3,3,0
GORDON GROUP,3,3,0
ATTAIN INSIGHT SOLUTIONS,3,3,0
INSIGHTS DISCOVERY LEARNING,3,3,0
SPEAKERS SPOTLIGHT,3,3,0
CREATIVE AGENCY,3,2,1
NEWCOMP SOLUTIONS,3,3,0
DYNAMIC PERSONNEL CONSULTANTS,3,3,0
NEO INSIGHT,3,3,0
WEBTROPOLIS,3,3,0
N CHENEVERT MIQUELON,3,3,0
NATIONAL PRINTERS,3,2,1
JUMPING ELEPHANTS,3,3,0
KONICA MINOLTA BUSINESS SOLUTIONS,3,2,1
WEBTRENDS,3,3,0
XEROX,3,3,0
AVI SPL CANADA,3,3,0
PROSCI CANADA,3,2,1
TAG HR THE ASSOCIATES GROUP,3,2,1
POLESTAR COMMUNICATIONS,3,3,0
CDW CANADA,3,3,0
PERSONNEL FORCE,3,2,1
PROSPER CANADA,3,3,0
OGILVIE MONTREAL,3,2,1
MERCER CANADA,3,1,2
