source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,77,44,33,810536.00,2377220.00
2011,72,47,25,794351.00,1281194.36
2012,62,39,23,650981.00,6200960.60
2013,39,26,13,455048.00,558661.99
2014,66,30,36,561104.00,2155615.00
2015,52,31,21,553193.00,2306707.98
2016,51,33,18,566247.52,1421395.31
2017,82,46,36,820862.43,3724445.47
2018,81,40,41,677737.67,5073224.99
2019,90,43,47,695093.75,8223950.77
