gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ASOKAN SOLUTIONS DE BUREAU,2014,2,2,0
ASOKAN SOLUTIONS DE BUREAU,2016,1,1,0
ASOKAN SOLUTIONS DE BUREAU,2017,5,5,0
ASOKAN SOLUTIONS DE BUREAU,2019,2,2,0
COSSETTE COMMUNICATIONS,2010,6,4,2
COSSETTE COMMUNICATIONS,2013,1,1,0
COSSETTE COMMUNICATIONS,2014,2,2,0
COSSETTE COMMUNICATIONS,2015,2,2,0
COSSETTE COMMUNICATIONS,2016,1,1,0
COSSETTE COMMUNICATIONS,2017,2,1,1
COSSETTE COMMUNICATIONS,2018,1,1,0
COSSETTE COMMUNICATIONS,2019,1,1,0
DELOITTE AND TOUCHE,2010,1,1,0
DELOITTE AND TOUCHE,2011,1,1,0
DELOITTE AND TOUCHE,2014,1,1,0
DELOITTE AND TOUCHE,2016,1,1,0
DELOITTE AND TOUCHE,2017,5,5,0
DELOITTE AND TOUCHE,2018,1,1,0
HYPERACTIVE PRODUCTIONS,2010,1,1,0
HYPERACTIVE PRODUCTIONS,2011,1,1,0
HYPERACTIVE PRODUCTIONS,2014,1,1,0
HYPERACTIVE PRODUCTIONS,2015,2,2,0
HYPERACTIVE PRODUCTIONS,2016,1,1,0
HYPERACTIVE PRODUCTIONS,2017,1,1,0
HYPERACTIVE PRODUCTIONS,2018,1,1,0
IPSOS REID,2010,1,1,0
IPSOS REID,2012,2,2,0
IPSOS REID,2013,1,1,0
IPSOS REID,2016,1,1,0
IPSOS REID,2017,1,1,0
IPSOS REID,2018,1,1,0
IPSOS REID,2019,1,1,0
MICROSOFT CANADA,2010,1,1,0
MICROSOFT CANADA,2012,1,1,0
MICROSOFT CANADA,2015,1,1,0
MICROSOFT CANADA,2016,1,1,0
MICROSOFT CANADA,2017,2,1,1
MICROSOFT CANADA,2018,3,3,0
MICROSOFT CANADA,2019,4,3,1
NEWS CANADA,2010,1,1,0
NEWS CANADA,2011,1,1,0
NEWS CANADA,2012,1,1,0
NEWS CANADA,2013,2,1,1
NEWS CANADA,2014,1,1,0
NEWS CANADA,2015,1,1,0
NEWS CANADA,2019,1,1,0
RJF COMMUNICATIONS,2010,1,1,0
RJF COMMUNICATIONS,2011,1,1,0
RJF COMMUNICATIONS,2012,1,1,0
RJF COMMUNICATIONS,2013,2,1,1
RJF COMMUNICATIONS,2014,2,2,0
RJF COMMUNICATIONS,2015,1,1,0
RJF COMMUNICATIONS,2016,1,1,0
RJF COMMUNICATIONS,2018,1,1,0
TELECOM COMPUTER SERVICES,2013,2,2,0
TELECOM COMPUTER SERVICES,2014,3,3,0
TELECOM COMPUTER SERVICES,2015,2,2,0
TELECOM COMPUTER SERVICES,2016,2,2,0
TELECOM COMPUTER SERVICES,2017,3,3,0
TELECOM COMPUTER SERVICES,2018,1,1,0
TELECOM COMPUTER SERVICES,2019,5,5,0
WILLS TRANSFER,2010,2,1,1
WILLS TRANSFER,2011,2,2,0
WILLS TRANSFER,2012,2,2,0
WILLS TRANSFER,2014,1,1,0
WILLS TRANSFER,2015,1,0,1
WILLS TRANSFER,2017,1,1,0
WILLS TRANSFER,2018,1,0,1
WILLS TRANSFER,2019,1,1,0
